,Date,NCR_num,Job_Number,Part_Number,Rev,Qty,Defect,Defect_Type,Category
16,1/16/2021,5129.0,CP460248,0040-83605,7,10.0,Thread holes on item 1 per print supposed to be 1/8 NPT. Thread gage 1/8 NPT does not go. 1/8 28 BSPT goes item 3 dist .230 +/- .015 2 pcs found measuring .255,Dimension,Threads
17,1/19/2021,5130.0,MT-RTM464075,0042-38506,1,1.0,"Parts is oversized after paint on several dims. 
Pls see report on file for details.",Dimension,Paint
18,1/19/2021,5131.0,462995,713-A09402-001,B,1.0,Drawing Note #4 part mark should be engraved spec 74-024094-00 method 3 style 3 omitted. ,Workmanship,Part Mark
19,1/19/2021,5132.0,mt-asm464432,0042-35562,1,1.0,missing M3 tapping,Workmanship,Cosmetic
20,1/20/2021,5133.0,RPM464932,713-801249-124,A,5.0,Scuffing and staining not reworkable. ,Workmanship,Cosmetic
21,1/20/2021,5134.0,462496,0021-19849,3,1.0,.750±.005 is .705 .750±.005 .7770and .500±.005 is.49,Dimensional,Cosmetic
22,1/20/2021,5135.0,MT-ASM464425,0042-35143,1,1.0,1 Pem nut self clinching came off,Workmanship,Cosmetic
23,1/20/2021,5136.0,462327,0030-01085,2,1.0,Silkscreen is not uniform. Pls see phots or reference,Workmanship,Silk Screen
24,1/22/2021,5137.0,RPM464196,713-801125-016,A,5.0,ENGRAVING WRONG SIDE AND OPPSIDE DOWN,Workmanship,Cosmetic
25,1/25/2021,5138.0,P464448,0022-83480,1,8.0,"Insufficient deburring/cutting. 
center hole is not completely thru. 
Thru hole looks like countersink. 
Pls reference photos for details.",Workmanship,Burrs
26,1/25/2021,5139.0,P464447,0022-83479,1,8.0,"Insufficient deburring/cutting. 
center hole is not completely thru. 
Thru hole looks like countersink. 
Pls reference photos for details.",Workmanship,Burrs
27,1/26/2021,5140.0,464165,0022-27727,2,6.0,"Parts failing dimensional inspection. Per print Diam. 4.5 + .3 / -0 actual dim. Is 4.44 to 4.45 depth of CB should be 2.0 + 15/-0, actual dim is 1.97 to 1.98",Dimension,dimension
28,1/28/2021,5141.0,asm462984,0010-84316,3,1.0,"1pc fail leak test. 
pls see phots for details.",Functional,Leaking
29,1/28/2021,5142.0,P462763,570049816,A,69.0,1.09 +/-.03 holes should be thru.Actual dimension is 1.04 to 1.05,Dimension,dimension
30,1/28/2021,5143.0,RPM464196,713-801125-016,A,5.0,"Per print note #6 Lay pattern side of part shall be convex. 
2 parts were concave. 
5 parts per note#7 ""code05PP"" missing half of the letter PP. Not acceptable",Workmanship,Cosmetic
31,1/29/2021,5144.0,462720,0022-37754,2,7.0,Holes .144 +/- .005 actual dim. Is only .138 (tight). Parts are bow not flat,Dimension,dimension
0,2/1/2021,5145,MT-ASM464427,0042-35747,1,1.0,Damaged part during pin assembly,Workmanship,Assembly
1,2/2/2021,  ,RMA11962,0051-21901,5,1.0,Missing M6 thread on item 1,Workmanship,Threads
2,2/2/2021,5146,MT-P463180,0021-08627,1,5.0,.250-20 UNC-2A wont go on the ring gage.,Workmanship,Cosmetic
3,2/2/2021,5147,P461133,813-A39887-001,B,50.0,6-32 thread won't go,Workmanship,Threads
4,2/2/2021,5148,P464503,0042-35578,2,2.0,"Dimension 3X 146 + .12/-0.00 is 145.98, and 145.98",Dimensional,dimension
5,2/3/2021,5149,462376,0022-27621,2,2.0,Per print dim 226.5 +/- .25 actual dim is 225.96,Dimensional,dimension
6,2/3/2021,5150,462277,0022-27616,2,7.0,"Parts rejected due to not meeting print
Please see sheet 1 zone;D11,C11,C6,E2
1.Ø28-.065/-.086 Actual is Ø27.97-Ø28.01, 2. Run out of .013 actual is .095, 3.Ø19-.007/-.020
Actual is Ø19.01, 4. 216±.25 Actual is 215.35-215.59, 5. Run out of .02 Actual is .466",Dimensional,GD&T
7,2/4/2021,5151,P463748,2149-2004,2,23.0,"Parts rejected due to not meeting print
please see sheet 1 zone C1 and zone B2; Ø2.2 and Ø1.590 are not in correct location",Dimensional,Cosmetic
8,2/5/2021,5152,ASM461521,0041-12759,3,100.0,MARKING VENDOR CODE S/B 301514 IS 301513,Workmanship,Subcontractor
9,2/5/2021,5153,P461400,0051-44306,3,4.0,Parts no weld per print.,Workmanship,Cosmetic
10,2/6/2021,5154,ASM462101,0055-01801,2,2.0,WRONG LABEL INSTALL,Workmanship,Cosmetic
11,2/6/2021,5155,P463951,0022-82828,1,2.0,"Parts rejected due to not meeting print. Sheet 2 zone C1, missing feature 3X Ø.039",Dimensional,Cosmetic
12,2/6/2021,5156,SCI458858,0041-25201,4,1.0,"Parts rejected due to not meeting print
Per note 9. Finish should be Everslik 1201 Dark Gray. Part does not match Everslik 1201 Dark Gray Coupon",Dimensional,surface finish
13,2/8/2021,5157,SCI462813,0041-37259,2,30.0,"Parts rejected due to not meeting print
AMAT logo is missing in all 30pcs
10pcs have nicks, pits, and gaps in the welding
All parts need deburr in slots",Workmanship,Burrs
14,2/11/2021,5158,MT-462498,0022-75457,2,4.0,4 parts rejected due to some dimension is out of tolerance,Dimensional,dimension
15,2/11/2021,5159,465430,0022-64836,3,2.0,Big AMAT logo engraved but should be part number engraved per 0250-01033 method 2,Workmanship,Cosmetic
16,2/12/2021,5160,464194,0022-70970,2,15.0,"per print MTL should be Ultem-1010 not ABS red like stated in the quote
NonConf:5160 PLAN XPLANNER ERROR",function,Material
17,2/12/2021,5161,464185,0022-70974,2,5.0,"per print MTL should be Ultem-1010 not ABS red like stated in the quote
NonConf:5161 PLAN XPLANNER ERROR",function,Material
18,2/12/2021,5162,464183,0022-70974,2,3.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
19,2/12/2021,5163,464186,0022-70975,2,3.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
20,2/12/2021,5164,464187,0022-70976,2,6.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
21,2/12/2021,5165,464188,0022-70977,2,3.0,"per print MTL should be Ultem-1010 not ABS red like stated in the quote
",function,Material
22,2/12/2021,5166,464189,0022-70978,2,3.0,"per print MTL should be Ultem-1010 not ABS red like stated in the quote
",function,Material
23,2/12/2021,5167,464190,"0022-70979,",2,9.0,"per print MTL should be Ultem-1010 not ABS red like stated in the quote
",function,Material
24,2/12/2021,5168,464184,0022-70973,2,5.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
25,2/12/2021,5169,464192,0022-70981,2,6.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
26,2/12/2021,5170,464191,0022-70980,2,3.0,per print MTL should be Ultem-1010 not ABS red like stated in the quote,function,Material
27,2/15/2021,5171,463702,"0270-00735,",8,1.0,WRONG MATERIAL ITEM 3,Workmanship,Material
28,2/13/2021,5172,464410,"713-A20408-002,",A,1.0,"PART NOT ENGRAVED PER NOTE 4
PART TO BE RTV",Workmanship,Cosmetic
29,2/13/2021,5173,p464466,0022-82321,1,1.0,"Part not meeting print specs.
 several dim. out of tol.",Dimensional,dimension
30,2/15/2021,5174,cp461531,0021-04297,3,8.0,missing engraving per note 5,Workmanship,Cosmetic
31,2/15/2021,5175,464106,022-75458,2,2.0,PARTS REJECTED FOR DAMAGE AND OVERSIZE 1/8-27 NPT THREADED HOLE,Workmanship,transit damaged
32,2/17/2021,5176,RTM465630,0022-85208,1,4.0,2x 3.50 +/- .25 is 3.15  No chamfer on the drawing call out on the back side is .355,Dimensional,Cosmetic
33,2/19/2021,5177,P464436,570049818,A,23.0,Per print hole dim. Should be 20.0 + . 021/ -.0 actual dim. Is 19.98-1999. See zone D4 on print hole diam 1.5 + .01/ - 0.0 actual dim is 1.49. ,Dimensional,dimension
34,2/21/2021,5178,mt-asm464573,0042-35143,1,1.0,Missing hardware ,Workmanship,Cosmetic
35,2/22/2021,5179,466526,0022-29226,2,1.0,"7pcs pull from stock to verify custmer rejection, 1pcs OOT NCR on file, 
sps needed for dim 6x .270 sheet 1 zone b5 should be 5X 
6pcs to cleaning",Dimensional,dimension
36,2/23/2021,5180,461130,0022-70975,2,1.0,"RECEIVED WRONG P/N 0022-70970 SHOULD BE PN 0022-70975, Rev 02",Workmanship,Cosmetic
37,2/23/2021,P460164,P460164,0051-91132,2,1.0,F29 rejected. Order is voided,Workmanship,Cosmetic
38,2/24/2021,5181,464054,0022-75515,1,1.0,Parts rejected due to 1/8-27 NPT goes all the way. ,Workmanship,Cosmetic
39,2/25/2021,5182,462567,CSN-0148-01,D,1.0,Part of the femaile groove cut off ,function,Cosmetic
40,2/25/2021,5183,MT-465649,0042-37075,1,10.0,ITEM#2 REJECTED THREAD LENGTH S/B .200 IS .190,Dimensional,Threads
41,2/26/2021,5184,asm459083,0010-84316,3,1.0,Top flange of the part has a material discoloration and dirt which cannot be removed by sanding or chemical cleaning we used.,Workmanship,Color
42,2/26/2021,5185,ASM461428,0010-84316,3,1.0,Top flange of the part has a material discoloration and dirt which cannot be removed by sanding or chemical cleaning we used.,Workmanship,Color
43,2/28/2021,5186,rtm465878,0042-35555,1,2.0,"Inside diameter is damaged due to metal inserts that are bulging after installation.
",Workmanship,Cosmetic
1,3/1/2021,5188,P464466,0022-82321,1,1.0,Part not meeting print specs several feature locations are out of tolerance.,Dimensional,GD&T
2,3/2/2021,5189,RTM466218,0042-35578,2,4.0,"Parts rejected due to not meeting print missing engraving per note 7, and missing M5 x. 8 inserts (item 2)",Workmanship,Cosmetic
3,3/2/2021,5190,RTM465877,0042-35578,2,2.0,"Parts rejected due to not meeting print missing engraving per note 7, and missing M5 x. 8 inserts (item 2)",Workmanship,Cosmetic
4,3/2/2021,5191,P464503,0042-35578,2,2.0,"Parts rejected due to not meeting print missing engraving per note 7, and missing M5 x. 8 inserts (item 2)",Workmanship,Cosmetic
5,3/2/2021,5192,p465131,0042-36748,2,1.0,"Parts not to print. Missing 8-32 insert x4 (item 2)
all 4 threaded holes have burrs. Please see picture on file. ",Workmanship,Threads
6,3/2/2021,5193,MT-RTM465786,0022-83919,1,24.0,Bad true position,Dimensional,GD&T
7,3/3/2021,5194,p465132,0042-37610,2,1.0,"Part not to print 
burrs in all holes
sps needed for part marking method(not enough room)
item 2(4x) missing hardware",Workmanship,Cosmetic
8,3/4/2021,5195,MT-P466498,502680.001,A1,1.0,"Part rejected due to not meeting print. Sheet 1 zone B6, thread to be 1/8 BSPT but gage goes all the way",Workmanship,Threads
9,3/4/2021,5196,MT-P466500,502679.001,A1,1.0,"Part rejected due to not meeting print. Sheet 1 zone C7, thread to be 1/8 BSPT but gage goes all the way",Workmanship,Threads
10,3/5/2021,5197,SCI463923,0051-84747,3,20.0,1/4 NPT threat gage going to deep,Workmanship,Threads
11,3/8/2021,5198,ASM461522,0041-25148,2,5.0,Parts rejected due to wrong engraving.,Workmanship,Cosmetic
12,3/8/2021,5199,465909,713-254628-124,A,25.0,0.131 +/- .005 is .133 and 0.148 + .000/-.002 is .1488,Dimensional,Cosmetic
13,3/9/2021,5200,465244,713-A08900-001,C,40.0,"Parts rejected due to not meeting print or form fit and function. See sheet 1 zone C6, both walls of the part cracked after hardware was installed",Workmanship,cracked
14,3/9/2021,Unofficial ,ASM460550,0042 24175,2,1.0,"This part is out of tolerance at F/5..
Part need to be rework  to pn 0042 35005 rev 02 ",Workmanship,GD&T
16,3/9/2021,5202, RPM467105,713-002617-023,B,4.0,PARTS HAVE SCRATCHES AND MISSING 2x 1MMX 45° CHAMFE,Workmanship,Scratches
17,3/11/2021,5203,RMA11963,0042-23590,3,1.0,Crack ,Workmanship,cracked
18,3/11/2021,5204,AS-MT466799,01457245-001,3,14.0,12 OUT OF 14 PCS IS REJECTED ONLY TWO PCS ARE GOOD. PLS SEE PICTURES ON FILE,Workmanship,GD&T
19,3/11/2021,5205,RMA11953,0015-11652,3,12.0,"Hole to hole dimensions are oot. 
Not reworkable. Programming team was made aware. 
Ok to scrap...
",Dimensional,dimension
20,3/15/2021,5206,465914,0042-28853,1,5.0,R5.0 +/- .25 IS 7.18,Dimensional,Cosmetic
21,3/15/2021,5207,SCI465497,0022-04019,4,100.0,"(F-8): (2x) R 2.5 +/- .5 - Missing material S/B PET, White is CPBC White",Dimensional,Material
22,3/15/2021,5208,SCI460797,0041-77446,3,1.0,Insert came off,Workmanship,Cosmetic
23,3/15/2021,5209,466423,0022-75458,2,2.0,"                   PARTS REJECTED DUE TO NOT MEETING PRINT 
 PLEASE SEE SHEET 1 ZONE D2 Ø60 -.03/-.06 ACTUAL AT Ø59.934/Ø59.928",Dimensional,Cosmetic
24,3/15/2021,5210,sci460798,0041-85132,6,10.0,"Cosmetic problem with the window unacceptable
",Cosmetic,Cosmetic
25,3/16/2021,5211,RPM464196,713-801125-016,A,2.0,"
2pcs rejected for oot flatness please see NCR on file",Dimensional,GD&T
26,3/16/2021,5212,463979,0022-82911,4,11.0,Parts not meetin gprint specs. .25 hole locations on X direction are out of Tol. Thruth POS. Out of Tol. For same reason,Dimensional,GD&T
27,3/16/2021,5213,463471,0041-28496,5,1.0,Part cracked closed to 1 slotted hole in the bottom.,Workmanship,cracked
28,3/17/2021,5214,466481,713-088691-021,A,1.0,Cosmetics issue: found foreign material on the surfaces of the part,Workmanship,Material
29,3/17/2021,5215,SCI461625,0022-14027,4,4.0,Flatness should be .002 is .0039,Dimensional,Cosmetic
30,3/18/2021,5216,467130,0022-62007,4,90.0,"EA 03/18: thermostat malfunction on oven increased temp higher than set (set to 200°C, heated to 230°C); resulting in material melted, damaged blanks
NonConf:5216 EMAL XEQUIP. MALFUNCTION",Equipment Malfunction,Material
31,3/18/2021,5217,465265,0021-44940,3,9.0,Bubbling/dimpling on underside of the cover after forming due to excess moisture in material,Workmanship,Material
32,3/19/2021,5218,P466534,713-803051-001,A,2.0,"PARTS NOT MEETING PRINT SPECS
SEVERAL DIMENSIONS  OUT OF TOLERANCE",Dimensional,dimension
33,3/19/2021,5219,P466227,713-801249-017,A,6.0,"PARTS REJECTED DUE TO NOT MEETING PRINT. PER NOTE 6 PARTS TO BE SILKSCREEN WITH INDICATED NOMENCLATURE. PLEASE SEE SHEET 1 ZONE C7 SILKSCREEN SHOULD BE ""SOV1-8B EXH DIVERTER"" ACTUAL IS ""SOV1-8A SPARE"" PLEASE SEE PICTURE ATTACHED",Workmanship,Silk Screen
34,3/22/2022,5220,464212,0042-25579,2,10.0,HOLE LOCATIONS SHORT   THRU POS  O.T   FOR SAME REASON  (AFTER ANNEALING),Dimensional,Cosmetic
35,3/22/2021,5221,466777,71-438282-00,1,10.0,"PARTS REJECTED DUE TO NOT MEETING PRINT PLEASE SEE SHEET 1 ZONE C5 AND D5 4PCS ARE OOT AND HAVE NICKS; D5- THICKNESS SHOULD BE .225±.002 ACTUAL IS BETWEEN .2227 AND .2244,C5- THICKNESS SHOULD BE .245±.002 ACTUAL IS BETEEN .2429 AND .2440.PARTS ARE TAPERED
ALL 10PCS NEED ENGRAVING, PLEASE SEE PICTURES ATTACHED FOR DETAILS ",Workmanship,GD&T
36,3/22/2021,5222,SCI465055,0030-00876,5,1.0,CRAKED CORNER,Cosmetic,Cosmetic
37,3/22/2021,5223,sci461605,0041-85128,4,2.0,Window have dents,Cosmetic,Cosmetic
38,3/22/2021,5224,466290,CSN-0149-01,D,1.0,part is cracked at the 47.76 diameter,Cosmetic,cracked
40,22-Mar,5226,464296,0042-28612,4,1.0,↓ .270 ± .005 IS .284,Dimensional,Cosmetic
41,3/23/2021,5227,mt-p465352,0040-80605,4,49.0,"Dimension 16.625 ±.005 per CHAWK Gubdrill Layout print is out of tolerance, actual dimension = 16.505",Dimensional,dimension
42,3/24/2021,5326,466471,0021-55030,3,1.0,Dimension of  hole should be  18.25 +/-.12   actua,Dimensional,dimension
43,3/24/2021,5327,P467440,0042-20091,3,3.0,"SHI A6 ACTUAL  .130  +-.005  I CHECK ONLY  .124 ,1235",Dimensional,Cosmetic
45,3/29/2021,5422,MT-RPM467424,524-A14746-002,a,1.0,DIM. 336-59 +/- .12 (TSC) actual dim is 335.47,Dimensional,dimension
46,3/30/2021,5423,ASM463354 to 457161,0090-07541,6,1.0,DAMAGED CABLE SHIELD,Workmanship,Cosmetic
47,3/31/2021,5424,MT-468405,713-183503-102-A02,A,60.0,"Parts rejected due to not meeting print please see ncr on file 
sheet 1 zone b7 Ø.1880+.003/+.005",Dimensional,Cosmetic
48,3/31/2021,5427,SCI465458,0041-78120,2,38.0,VOIDS AND BUBBLES VISIBLE ON DIFFERENT SURFACES,Workmanship,Cosmetic
49,3/31/2021,5429,ASM461429,0022-62686,2,10.0,SILKSCREEN NOT LEGIBLE,Cosmetic,Silk Screen
50,3/31/2021,5430,ASM461517,0022-62686,2,10.0,SILKSCREEN NOT READABLE,Cosmetic,Silk Screen
51,3/31/2021,5431,ASM463286,0022-62686,2,40.0,SILKSCREEN NOT READABLE,Cosmetic,Silk Screen
0,4/2/2021,5436,ASM463025,0021-45239,3,10.0,"      PARTS REJECTED DUE TO NOT MEETING PRINT AND FAILS FORM FIT AND FUNCTION 
PLEASE SEE SHEET 1 ZONE D7 SHOULD BE Ø19.99+0.00/-0.05 ACTUAL IS BETWEEN Ø20.00-Ø20.03",Dimensional,Cosmetic
1,4/2/2021,5437,458126,0090-05371,2,2.0,"WRONG SENSOR RECEIVED AND FAILS FUNCTIONALITY TEST  
P/N SHOULD BE KG5069 ACTUAL SENSOR RECEIVED IS P/N KG5067",Functional,Cosmetic
2,4/2/2021,5439,asm460401,0042-24171,2,7.0,"parts rejected due to cosmetic issue with ANODIZE BLEED OUT 
",Cosmetic,Cosmetic
3,4/2/2021,5441,mt-asm464432,0042-35562,1,1.0,"Part rejeceted for missing m3 x .05 replacement has an overisze thread and form fit and function fails
",Workmanship,Threads
4,4/8/2021,5452,465003, 15-431471-00,C,4.0,"PARTS REJECTED DUE TO COSMETIC ISSUES 
DEEP PITS, SCRATCHES, AND PARTICLE WITHIN THE ESD COATING",Cosmetic,Scratches
5,4/13/2021,5462,465598,15-431463-00,E,2.0,Parts rejected due to cosmetic issues. Parts have scratches nicks and haze after ESD coating. ,Cosmetic,Scratches
6,4/15/2021,5464,467429,0042-35578,2,2.0,Part mark - method 2 - missing insert M5x0.8 4 ea - missing. Thread .125-27 NPT unacceptable. ,Workmanship,Threads
7,4/19/2021,5466,MT-462685,0042-27947,2,1.0,"After anodizing, found rust alike formation around the the lip of DIAMETER Ø547.00 @C2B8",Workmanship,Cosmetic
8,4/19/2021,5470,ASM462792,0022-62679,4,50.0,PRATS REJECTED DUE TO SILKSCREEN WORKMANSHIP SHEET 1 ZONE B11 SILKSCREEN SMEARED ,Workmanship,Silk Screen
9,4/19/2021,5471,asm463062,0022-62679,4,20.0,"PARTS REJECTED DUE TO SILKSCREEN WORKMANSHIP
SHEET 1 ZONE B11 SILKSCREEN SMEARED",Workmanship,Silk Screen
10,4/21/2021,5473,SCI465541,0041-37259,2,4.0,"PARTS REJECTED DUE TO NOT MEETING PRINT.  SEE SHEET 1 ONE C6
ITEM 1, 2 AND 3 ARE BONDED IN WRONG ORIENTATION AND LOCATION",Workmanship,Cosmetic
11,4/19/2021,5472,ASM466273,0041-30145,2,20.0,PARTS REJECTED FOR WORKMANSHIP/ COSMETICS PARTS HAVE NICKS CHIPS AND DAMAGE PINS PLEASE SEE PICTURES ATTACHED,Workmanship,transit damaged
18,4/23/2021,5482,RW469170,0190-29897,4,1.0,Damage Connector,Functional,transit damaged
19,4/28/2021,5483,RW469171,0041-14343,3,1.0,Damage Connector cover,Functional,transit damaged
20,4/28/2021,5487,ASM466273,0041-30145,2,80.0," item #2, 3 and 4 are not meeting drawing requirements.  BOM item #2, As per pdf of 3550-00544, OEM part number should be BERG part D50M-4, 
aCTAUAL: M58PD-SS. 
item #3, SS insert used wrongly instead of Nitronic 60 insert. As per pdf of 3410-00247, OEM part number should be 1084-4EN080, Actual used:  1084-4CN080. 
item #4, SS insert used wrongly instead of Nitronic 60 insert. As per pdf of 3410-00379,  part number should be 1185-4EN625,
Actual used: part 1185-4CN62",Functional,Cosmetic
21,4/28/2021,5488,MT-468367,570049801,A,1.0,"PART REJECTED DUE TO NOT MEETING PRINT 
PLEASE SEE SHEET 1 ZONE D4, SHOULD BE Ø40.512 +.025/-0.000, ACTUAL IS Ø40.538",Dimensional,Cosmetic
22,4/30/2021,5490,CP467062,0042-22013,2,1.0,"Failed QC inspection - detail AB - .122 is OOT, Section A-A - 1.110 is OOT",Dimensional,GD&T
0,5/3/2021,5491.0,cp468038,0022-86022,2,8.0,"Failed QC inspection - Ø2.658 is OOT, .001 Runout is OOT, 1.640 OOT",Dimensional,GD&T
1,5/4/2021,5492.0,CP468037,0022-86005,2,8.0,"Failed QC inspection - 2.100 is OOT and tapered, 2.658 is OOT, runnouts are OOT, 1.402 is OO",Dimensional,GD&T
2,5/4/2021,5493.0,RPM469719,713-A19564-001,A,3.0,Damaged middle slot/bad deburr.,Cosmetic,Burrs
3,5/4/2021,5494.0,RTM465878,0042-35555,1,2.0,True position S/B .12 is .1216-.6543,Dimensional,GD&T
4,5/5/2021,5495.0,RPM469814,713-A56469-025,B,2.0,We have an external radius of .005 and the under radius was done above the radius not per drawing detail B.,Dimensional,Cosmetic
5,5/6/2021,5496.0,RPM469357,713-A43391-014,A,1.0,"PARTS REJECTED DUE TO COSMETIC ISSUES
PART HAS DEEP PIT /CRACK IN AREA ZONE C6 SHEET 1
 PLEASE SEE PICTURE ATTACHED",Cosmetic,cracked
7,5/6/2021,5498.0,7,CSN-0149-01/Incorrect P/N,D,2.0,"Tonque Hight fail
 (Part desc:Negative endplate frame)",Functional,Cosmetic
9,5/6/2021,5500.0,RW469666,0021-53996,2,11.0,Part is out of tolerance,Dimensional,GD&T
10,5/10/2021,5501.0,rtm469388,0022-87137,2,1.0,"wrong MTL provided to Nominal 
Nominal failed to catched MTL change also 
parts to be scrap",Workmanship,Material
11,5/10/2021,5502.0,P468376,0022-60156,3,3.0,Nominal failed to catched MTL change also ,Dimensional,Material
12,5/11/2021,5503.0,mt-468383,570049801,a,3.0,"PARTS REJECTED DUE TO NOT MEETING PRINT SEE SHEET 1 ZONE D4 SHOULD BE Ø40.512 +0.025/ -0.000 ACTUALS ARE Ø40.509, Ø40.505, Ø40.498",Dimensional,Cosmetic
13,5/13/2021,5504.0,sci468833,0022-18521,2,8.0,Go no go gage 1/5,Dimensional,Cosmetic
14,5/14/2021,5505.0,468302,515-224153-007,A,5.0,SLOT S/B .420 ±.005 IS .410,Dimensional,Cosmetic
15,5/14/2021,5506.0,468419,0022-76049,2,4.0,tooling mark unacceptable,Workmanship,Part Mark
16,5/14/2021,5507.0,CP468132,0042-09391,10,1.0,Dimension out,Dimensional,dimension
17,5/18/2021,5508.0,469444,0022-76049,2,2.0,Tooling mark and dimension out,Workmanship,dimension
18,5/18/2021,5509.0,ASM467659,0022-04958,3,3.0,"EA 05/18:
Section A-A and B-B views, E2 and E7: 2x M3x0.5 thread locations on discrepant parts (in X-direction) are flipped

Section A-A: threads should be located at 42.00, 174.50 and 60.00, 144.50; on discrepant parts threads are located at 60.00, 174.50 and 42.00, 144.50
Section B-B: threads should be located 42.00, 144.50 and 60.00, 174.50; on discrepant parts threads are located at 60.00, 144.50 and 42.00, 174.50
NonConf:5509 DIME DIMENSIONAL",Dimensional,dimension
19,5/18/2021,5510.0,466559,524-326223-001,B,4.0,parts failing  Thru pos. and Run out,Dimensional,Cosmetic
20,5/19/2021,5511.0,ASM462480,0022-18298,4,50.0,"PART IS NOT SYMETRIC  PARTS NOT MADE PER PRINT.
DIM 24.0 +/-.5   IS  26.5   AND 21.5  ACTUAL DIM IS 18.5",Dimensional,dimension
21,5/19/2021,5512.0,465953,713-229661-002,d,22.0,PARALLEL OUT OF TOLERANCE,Dimensional,GD&T
22,5/21/2021,5513.0,sci464652,0045-00689,3,2.0,9 sets to clean 2 sets rejected missing features,Workmanship,Cleaning
23,5/21/2021,5514.0,SCI466837,0041-85130,4,4.0,"COSMETICS 
SCRATCHES ON WINDOWS (ITEM 4)",Cosmetic,Scratches
24,5/24/2021,5515.0,RTM469597,0022-84107,5,12.0,"True position .1 is .770
 True position .5 is .954",Dimensional,GD&T
25,5/25/2021,5516.0,468691,0022-75260,2,6.0,"Some dimensions are out of tolerance;
Parallelism S/B=0.02 actual is 0.027
SHI-B9 Distance 30+0.021/-0.00, actual is 30.059
CMM reports attached.
SH1-B11 Distance 30+0.021/-0.00, actual is 30.059
SH1-E5_Distance_7 ±0.25, actual 7.45 - 7.65",Dimensional,dimension
26,5/25/2021,5517.0,466559,524-326223-001,B,4.0,"RUN OUT  OFF TOL.  PER PRINT SHOULD BE.001 ACTUAL IS .002 TO .003
THRU POS  PER PRINT SHOULD BE .002 ACTUAL  DIM IS .003 TO .004",Dimensional,dimension
27,5/25/2021,5518.0,RPM470394,713-432005-001,C,2.0,"PARTS REJECTED DUE TO COSMETICS AND WORKMANSHIP 
PARTS NOT RECEIVED WITH PROTECTIVE FILM PER NOTE 5
PARTS HAVE SCRATCHES AND NICKS IN ZONE D4 NOT ALLOWED PER NOTE 4",Cosmetic,Scratches
28,5/26/2021,5519.0,469856,"0022-87539, ",1,1.0,"1pcs not part mark per print 
",Workmanship,Part Mark
