Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,Description of Defect,Defect Type,Suspected Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,,,,,,,,,,,,,,,,,,,,,,, 
8/20/2021,5629,469658,715-212651-001,C,12,Dim  3.260 +.003/-.000   is under size  actual dim. in all parts ranges from 2.556 to 2.558,Dimensional,CNC,Rework,Erik L.,8/20/2021,9/20/2021,31,$0 ,"8/20/21- An email was sent to Erik to address this issue. 
8/26/21 - Currently being reviewed by Erik. 
9/20/21 -Reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/20/2021,5630,MT-473000,19-431355-00,A,11,"qty 11 pieces undersized in OAL: .750"" ± .005"" measures .718-.734""",Dimensional,METAL CNC,Scrap,Vinod,8/20/2021,8/30/2021,10,,"8/20/21- Erik A .to address this issue during MRB meeting. 
8/26/21 - A follow up email was sent to Erik A. 
8/31/21-  5 out of 11 pieces are not reworkable due to overall length is already short.  DMR 2789",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/23/2021,5631,P471861,713-A15228-005,B,5,"DIM 1.065 +/-.005 OUT OF TOL.   ACTUAL RANGES FROM  1.071 TO 1.0725
DIM  1.496 +/- .005   ACTUAL   1.5025
FLATNESS  PER PRINT SHOULD BE .005  ACTUAL IS .006/.007",Dimensional,CNC,Scrap,Erik L.,8/24/2021,8/30/2021,7,$970 ,"8/26/21- Parts were released to Erik L for rework. 
8/30/21 - Parts are not reworkable per Erik L. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/25/2021,5632,p472259,0042-41479,01,5,Item #2 - damage. Cosmetic unacceptable,Cosmetic,FABRICATION,Rework,Louie,8/26/2021,8/30/2021,5,$0 ,"8/26/21-An email was sent to Louie regarding this issue.  
8/31/21 - Reworked and passed inspection. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/25/2021,5633,CP472876,0022-86022,02,2,PER PRINT DIAM SHOULD BE 2.658 +.004/-.000  ACTUAL DIM IN 2 PARTS IS 2.654,Dimensional,CNC,Scrap,Erik L. ,8/26/2021,9/9/2021,15,$344 ,"8/26/21- Parts were released to Erik L for rework. 
9/9/21 - Parts are not reworkable per Erik L. DMR 2797",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5634,P472991,713-330513-021,E,2,WIDTH OF SLOT S/B .236±.010 IS .247 TO .248,Dimensional,CNC,Scrap,Erik L. ,8/30/2021,8/30/2021,0,"$1,362 ",8/30/2021-Parts are not reworkable per Erik L. ,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5635,MT-ASM470992,0022-81433,01,40,EA 08/27: qty 40 pieces rejected; parts are not engraved per print (method 2 per note 10),Workmanship,IFQ,RTV,Marco,8/30/2021,9/20/2021,21,,"8/30/21 - An email was sent to Marco to notify the supplier. 
9/1/21 - Rejected parts were picked up by IFQ personnel (Quinny)
9/7/21 - A follow up email was sent to Marco. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5636,P472992,713-330513-022,G,2,Dimension Out,Dimensional,Programming/Fab,Scrap,Kenny/Marcelino,8/30/2021,9/3/2021,4,"$1,284 ","8/30/2021 - currently being reviewed by Kenny. 
9/3/21-   Erik L.  Ordered pc to open a new job order due to strip formed feature on part was incorrect. DMR 2794. 
PC Closed job P472992 and created new job 475204 with programming and QAFAI seq",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5637,E473778,713-121109-202,A,5,If dimension is calling out 14.5 with ISO tolerance of ±0.2 then part can only be between 14.7 and 14.3. Actual parts are measuring between 16.95 and 17.00 ,Dimensional,Lathe,Scrap,Lalo,8/30/2021,8/31/2021,1,,"8/30/2021 - Parts were delivered to Lalo to be reworked. 
-Per Lalo parts are not reworkable. PC to issue a new job order. DMR 2791
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5638,473992,713-121109-202,A,5,If dimension is calling out 14.5 with ISO tolerance of ±0.2 then part can only be between 14.7 and 14.3. Actual parts are measuring between 16.95 and 17.01,Dimensional,Lathe,Scrap,Lalo,8/30/2021,8/31/2021,1,,"8/30/2021 - Parts were delivered to Lalo to be reworked. 
-Per Lalo parts are not reworkable. PC to issue a new job order. DMR 2792
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5639,474283,"0022-81883, ",02,12,R.10 MAX  OVER SIZE DUE TO  EDGE BEEN DEFORMED WHEN POLISHING,Workmanship,FABRICATION,Scrap,Marcelino,8/30/2021,8/30/2021,0,"$1,392 ",8/30/2021 - Parts are not reworkable per Marcelino. ,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5640,469655,713-A09402-001,B,1,MISSING P/N ENGRAVING,Workmanship,IFQ,RTV,Marco,8/30/2021,9/28/2021,29,$0 ,"8/30/21 - An email was sent to Marco to notify the supplier. 

9/7/21 - A follow up email was sent to Marco. 
9/20/21- Replacement part received. Pending inspection. 
9/28/21 - Replacement part received and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/30/2021,5641,CP471700,0042-35193,03,2,"PER PRINT THRU POS .25 OF 12.7 HOLES OUT OF TOL.   ACTUAL READINGS ARE .35 AND .37
DEPTH OF 6.0 HOLE SHOULD BE 55 +.5/-0   ACTUAL IS 54.7",Dimensional,CNC,Scrap,Erik / Vladimir,8/31/2021,10/4/2021,35,DMR missing,"8/31/21 - An email was sent to Vladimir and Erik for advice.  
9/1/21 - Parts has been released to Erik for rework. 
9/8/21- wip
9/20/21- Rework in progress
10/04/21- Parts are not reworakble . PC opennew job CP476195 ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5642,470840,0042-28853,01,1,THRU POS ON SEVERAL  HOLES ARE OUT OF TOLERANCE,Dimensional,Nominal Machining LLC,RTV,Marco/Olga/Vladimir,9/1/2021,9/17/2021,17,$0 ,"9/1/21 - An email was sent to Marco to notify the supplier.
9/9/21 - Part received from the supplier. Notified QC to help with inspection and installing the insert. 
9/15/21- this part still in QA 
9/17/21- Passed inspection.",Closed,Rejected parts were scrapped inhouse,,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5643,P460888,0020-54198,03,3,DIMENSION OUT OF TOLERANCE,Dimensional,CTI International (Malaysia) Sdn Bhd,Scrap,Marco/ Arcelia,9/1/2021,9/7/2021,7,"$1,020 ","9/1/21 - Currently being reviewed by Vladimir. 
9/3/21 - Vladimir suggested that we can try to push the customer to accept this job as-is. Sales had been notify to send email to customer regarding this issue. 
9/7/21 - Parts will be scrap per Arcelia's request. DMR 2795",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5644,p474297,0200-29468,01,1,Flatness .002 is .005 and nick on the flatnees side,Dimensional,FABRICATION,As-is,Marcelino/Kenny,9/1/2021,9/7/2021,7,$0 ,"9/1/21 - Currently being reviewed by Kenny to determine the path forward. 
9/7/21- Buyer is okay to use part as is. Approval attached to this report. ",Closed,,0,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5645,472258,0042-39441,01,3,"PARTS FAILING   THRU POS. 
SPECS ARE THRU POS. .13 FOR 12.0 +.12/-0 HOLES 
THRU POS .13 FOR  4.5+.18/-0  HOLES   ACTUAL READINGS RANGE FROM .1",Dimensional,CNC ,Rework,Erik L.,9/1/2021,9/7/2021,7,$0 ,"9/1/21 - Currently being reviewed by Erik to determine the path forward. 
9/7/21 - Successfully reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5646,474666,713-264541-401,E,8,EA 08/31: qty 8 rejected due to material discoloration (inventory purge; reference NCR5594),DMAT XDEFECTIVE MATERIAL(cosmetic),"Material issue / Purchasing(PORT PLASTICS, INC)",As-is,Jalissa,9/1/2021,9/30/2021,30,$0 ,"9/1/2021 - Currently being reviewed. 
9/3/21 - Jalissa is working with the customer to accept as-is. 
9/17/21 - A follow up email was sent to Jalissa. 
9/28/21 - Pending approval from customer. 
9/30/21- DMR 2807
Note: This job was pulled from MRB after approval from the customer to use as-is",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/31/2021,5647,474665,713-264541-400,D,14,EA 08/31: qty 14 rejected due to material discoloration (reference NCR5593),DMAT XDEFECTIVE MATERIAL(cosmetic),"Material issue / Purchasing(PORT PLASTICS, INC)",As-is,Jalissa,9/1/2021,9/30/2021,30,$0 ,"9/1/2021 - Currently being reviewed. 
9/3/21 - Jalissa is working with the customer to accept as-is. 
9/17/21 - A follow up email was sent to Jalissa. 
9/28/21 - Pending approval from customer. 
9/30/21-DMR2808
Note: This job was pulled from MRB after approval from the customer to use as-is",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/1/2021,5648,SCI469220,0041-77449,07,3,Broken. Not reworkable. ,Damage(functional),Assembly,Scrap,Gabby,9/1/2021,9/1/2021,0,,9/1/21- Parts are not reworkable per Gabby. DMR 2793,Closed,,,,,,,,,,,,,,,,,,,,,,,
9/2/2021,5649,473407,0022-76049,02,3,7.50±.25 actual is 7.08-7.13,Dimensional,Nominal Machining LLC,RTV,Marco,9/2/2021,10/7/2021,35,$0 ,"9/2/2021 - An email was sent to Marco to notify the supplier. 
9/21/21 - Replacement parts received and pending inspection. 
9/28/21 - Pending inspection. 
10/05/21- Pending inspection
10/7/21- passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/7/2021,5650,RMA12067,0042-25537,01,2,"Customer Return; 
Shafts/Pins installed on parts are OOT and have issues with mating parts at the customer end. This was confimed at CHawk.",Functional ,Applied Manufacturing group ,RTV,Marco/Gabby,9/7/2021,,-44446,,"9/7/2021- Marco will notify the supplier. 
9/20/21 - Multiple emails were sent to suppliers regarding this issue and no response. 
10/01/21- A follow up email was sent to Marco. 
10/05/21 - Gabby is working with the supplier and as of today no update from the supplier. 
10/22/21- A follow up email was sent to Gabby to request a commit date from Supplier. 
11/2/21- Another email was sent to Gabby to follow up with the supplier. ",Open,,,,,,,,,,,,,,,,,,,,,,,
9/9/2021,5651,ASM464632,0022-03764,09,1,Reference Sh1 Detail E and Sh2 Section J-J: qty 1 found machined incomplete. missing features,Functional ,CNC,Rework,Erik L,9/9/2021,9/20/2021,11,$0 ,"9/9/21 - Part is released to Erik for rework. 
9/20/21 - Per Erik L, the correct job is ASM467597 . This job Is already completed and closed. . 

",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/9/2021,5652,ASM463404,0190-53195,03,2,EA 09/08: sensor gets stuck when threaded onto mating part; sensor is damaged when remove,Equipment Malfunction(functional),First Sensor Inc,Scrap,Sanjay,9/9/2021,9/9/2021,0,$0 ,"9/9/21 - Part are not reworkable per Erik A. DMR 2798
9/13/2021 - Added to RCCA log and
CPAR 168 is provided to Erik A. to complete. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/10/2021,5653,cp473795,0042-34520,07,8,"Sht 1, dr loc E7 s/b Ø4.80+-0.25 actual is Ø5.18-5.2",Dimensional,Programming,As-is, Kenny,9/10/2021,10/22/2021,42,$0 ,"
9/17/21 - Customer will provide a new rev
9/23/21- A follow up email was sent to Kenny. 
9/28/21 - A follow up email was sent to Kenny regarding this issue. 
10/21/21- Customer agreed to use the part as is. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/11/2021,5654,RTM474908,0022-94423,01,30,"EA 09/09: qty 30 rejected
Reference Section A-A view -- both sides of .250 +.000 / -.003 dimension have stepped surfaces (radius not blending into part?).  Measurement ranges from .240 to .253 due to step.
Vendor is Condor Mfg",Dimensional,Condor,RTV,Marco,9/10/2021,9/16/2021,5,$0 ,"9/10/21 - An email was sent to Maroc to notify the supplier regarding this issue. 
9/13/21- Rejected parts were picked up by supplier.
 9/16/21 -  Replacement parts received and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/14/2021,5655,471585,0022-82527,02,4,"Sht 1, dr loc D2 s/b Ø13.040+.005-.000 actual is Ø13.036-13.037.",Dimensional,CNC,Rework,Erik L/ Vinh,9/14/2021,9/21/2021,7,$0 ,"9/14/21 - An email was sent to Erik L regarding this NCR. 

9/16/21-Waiting for DQ approval.
9/21/21 - Parts were reworked re-inspected and passed inspection per Gabby.  ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/14/2021,5656,473584,713-256314-004,C,26,".870 is .500”
see sheet 1 zone C7 should be .87 ±.03 actula is .500 parts to be RTV per Chins Email",Dimensional,Condor,RTV,Marco,9/14/2021,9/20/2021,6,$0 ,"9/14/212- NCR-5656 will be picked up today by the supplier. 
9/15/21- Replacement parts received. Pending inspection. 
9/20/21- Passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/16/2021,5657,472191,CSN-0148-01,G,1,true position out of tolerance s/b .5 is .776,Dimensional,CNC,Scrap,Erik L,9/16/2021,9/29/2021,13,$686 ,"9/16/21 - An email was sent to Erik and Vladimir to disposition this NCR. Part was released to Erik for Rework. 
9/22/21- Part is back in QC for re-inspection.
9/29/21- Part is not reworkable. DMR 2803
 ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/17/2021,5658,e468470,CHP-AMT-00046-1,01,1,"Sht2, dr loc F7 s/b R21.797 is R21.805-21.816, dr loc F8 s/b R21.697 is R21.710-21.717, dr loc F8 s/b R20.777 is R20.763-20.785, dr loc F8 s/b R20.877 is R20.883-20.885.",Dimensional,CNC,Scrap,Erik L. ,9/17/2021,9/23/2021,6,$0 ,"9/1721 - Part was released to Erik for further evaluation. 
9/23/21 - Part is not reworkable. DMR 2801",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/17/2021,5659,MT-P472832,0022-82547,02,2,"EA 09/16: qty 2 ok to release, qty 2 rejected for dimensional discrepancies.
B2: .290 +.000 / -.005 measures .280 (1pc at one end, 1pc at center of part)
B2: 2x .150 +.000 / -.005 measures .136 (1pc at one end)",Dimensional,CNC METAL,Scrap,Vinod,9/17/2021,10/7/2021,20,$0 ,"9/17/21 - Part were released to Vinod for rework. 
10/05/21 - A follow up email was sent to Vinod. 
10/7/21- Parts are not reworfakble per Vinod. DMR 2812",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/17/2021,5660,ASM466097,0022-62686,02,10,"M3 threads in top and bottom rows (near bends) are tight, some do not accept thread gage or will cause screw to bind when installing matin",Workmanship,Eclipse Metal Fabrication,RTV,Marco,9/17/2021,10/7/2021,20,$0 ,"9/17/21 - Marco notified supplier regarding this issue. 
9/20/21 - Parts were picked up by supplier. 
10/7/21- Replacement parts received and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/17/2021,5661,ASM466098,0022-62686,02,100,"M3 threads in top and bottom rows (near bends) are tight, some do not accept thread gage or will cause screw to bind when installing matin",Workmanship,Eclipse Metal Fabrication,RTV,Marco,9/17/2021,10/7/2021,20,$0 ,"9/17/21 - Marco notified supplier regarding this issue. 
9/20/21 - Parts were picked up by supplier. 
10/7/21- Replacement parts received and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
