RMA Number,Part Number,Print,Return  Qty,RMA Date,Customer,Responsibility,Type of Issue,Status,Root cause,Corrective actions,Affect to US Chawk QPPM Y/N,Inspector,"RMA closure  on time?
Y/N(within 45 days)",Notes
12178,713-256314-004,,6,1/31/22,TKF,CHAWK,WORKMANSHIP,Open,,,,,,"01/31/22 Chin Stiltz: Issued the RMA to Jalissa.
NCI-2022-00899: 
1.       Received 19pcs and 6pcs – NG
2.       Can’t be used as it is, as NG parts are not able to be readable accordingly when assembled.
02/01/22 Zeeshan Shaukat: Pending arrival.
02/24/22 Zeeshan Shaukat: Part received, new RMA job generated, pending QA evaulation."
12179,0022-89355,,1,2/1/22,AMATGSS,Chawk ,WORKMANSHIP,Closed,,,,,,"02/0122 Chin Stiltz: Issued the RMA to Jennifer.
QN40656367 - This is the replacement for QN 40646199. It has the same issue , side walls came
loose. part is still in original package. 02/04/22 Zeeshan Shaukat: pending arrival. 
02/10/22 Zeeshan Shaukat: RMA received requested PC to create a job.
02/16/22 Zeeshan Shaukat: to stock against S/O 63037."
12180,0022-89355,,1,2/1/22,AMATGSS,Chawk ,WORKMANSHIP,Closed ,,,,,,"02/01/22 Chin Stiltz: Issued the RMA to Jennifer.
QN40663224 - Poor Bonding per engineering. 02/04/22 Zeeshan Shaukat: Pending arrival.
02/10/22 Zeeshan Shaukat: RMA received requested PC to create a job.
02/16/22 Zeeshan Shaukat: to stock against S/O 63568."
12181,0010-43785,,1,2/7/22,AMETAGS,AMAT,FUNCTIONAL,Closed,,,,,,"02/07/22 Zeeshan Shaukat: RMA 12181 PN 0010-43785, Rev 02, 1 pc to return as customer paid rework on PO 4513773486 . issued to Malik. QN: 202529703 Failure Description: Rotation error. 02/9/22 Zeeshan Shaukat: pending arrival. 
02/14/22 Zeeshan Shaukat: Part received requested PC to generate a job for evaluation.
03/07/22 Zeeshan Shaukat: request sent to Yatie to provide a quote. 
03/17/22 Zeeshan Shaukat: shipped back to the customer, tracking info provided to the customer."
12182,0010-43785,,1,2/7/22,AMETAGS,AMAT,FUNCTIONAL,Closed,,,,,,"02/07/22 Zeeshan Shaukat: RMA 12182 PN 0010-43785, Rev 02, 1 pc to return as customer paid rework on PO4513773490 . issued to Malik. QN: 202529722 Failure Description: Rotation error. 02/9/22 Zeeshan Shaukat: pending arrival. 
02/14/22 Zeeshan Shaukat: Part received requested PC to generate a job for evaluation.
03/07/22 Zeeshan Shaukat: request sent to Yatie to provide a quote.
 03/17/22 Zeeshan Shaukat: shipped back to the customer, tracking info provided to the customer."
12183,0022-89355,,1,2/8/22,AMETAGS,Chawk,FUNCTIONAL,Closed,,,,,,"02/08/22 Zeeshan Shaukat: issued the RMA to Jennifer, need to verify the rev, once arrived.
QN 40654515
This is the replacement and is bad again
Side walls of Gantry housing 0022-89355 separated from each other due to
inefficient adhesive. 02/9/22 Zeeshan Shaukat: pending arrival.
02/21/22 Zeeshan Shaukat: Part received job generated for evaluation, QA notified.
03/07/22 Zeeshan Shaukat: part reworked and sent to stock. "
12184,0022-89355,,1,2/8/22,AMETAGS,Chawk,FUNCTIONAL,Closed,,,,,,"02/08/22 Zeeshan Shaukat: issued the RMA to Jennifer, need to verify the rev, once arrived.
QN40656241
This one is the replacement for QN 40654515 but it has the same issue.
Side walls of Gantry housing 0022-89355 separated from each other due to
inefficient adhesive. 02/9/22 Zeeshan Shaukat: pending arrival.
02/21/22 Zeeshan Shaukat: Part received job generated for evaluation, QA notified.
03/07/22 Zeeshan Shaukat: part reworked and sent to stock. "
12185,0010-62905,,1,2/9/22,AMETAGS,AMAT,FUNCTIONAL,Closed,,,,,,"02/09/22 Zeeshan Shaukat: RmA 12185 is issued to Manju as a customer paid rework on PO 4513797860.
QN: 202585824.
Description: [Hardware Malfunction] During process, BB2 B side RPM drop issue occurred. 02/9/22 Zeeshan Shaukat: pending arrival. 
02/21/22 Zeeshan Shaukat: Part received job generated for evaluation. part need to be handed to Assembly for evaluation.
03/07/22 Zeeshan Shaukat: request sent to Yatie to provide a quote. 
03/14/22 Zeeshan Shaukat: Quote approved by customer.
03/21/22 Zeeshan Shaukat: part shipped gainst S/O 65636."
12186,1020597,,1,2/9/22,Mission,Chawk,WORKMANSHIP,Closed,,,,,,"02/9/22 Chin Stiltz: Issued the RMA to Regina.
DMR03874: Material cracked
03/12/22 Zeeshan Shaukat: part received job generated, waiting for QA evaulation.
04/01/22 Zeeshan Shaukat: part scrapped per Gabby."
12187,0041-93719,,1,2/11/22,AMATGSS,Chawk,WORKMANSHIP,Closed,,,,,,"02/10/22 Zeeshan Shaukat: RMA PN 0041-93719, Rev 11, Qty 1 for issued to Jennifer.
QN 30218192: PPI INSPCETION. NON-COMPLIANCE TO DRAWING NOTE
FAILED PER NOTE 10, TOOL MARKS AND SCRATCHES.
0041-93719 REV 11 SN 4721-0006 NON-COMPLIANCE TO DRAWING NOTE.
02/21/22 Zeeshan Shaukat: Part received job generated for evaluation, QA notified.
04/15/22 Zeeshan Shaukat: reworked to STK.
"
12188,0042-17914,,1,2/11/22,AMATGSS,Chawk,WORKMANSHIP,Closed,,,,,,"02/10/22 Zeeshan Shaukat: RMA PN 0042-17914, Rev 08, Qty 1 issued to Jennifer.
QN 30219859: PPI INSPECTION. NON-COMPLIANCE TO DRAWING NOTE
FAILED PER NOTE 11, TOOL MARKED AND SCRATCHES ON SEALING SURFACE.
0042- 17914 REV 08 SN 0001 NON-COMPLIANCE TO DRAWING NOTE.
02/21/22 Zeeshan Shaukat: Part received job generated for evaluation, QA notified.
04/15/22 Zeeshan Shaukat: reworked to STK.
"
12189,04-438879-00,,1,2/11/22,LAMRC,LAMRC,CUSTOMER REWORK,Open ,,,,,,"02/11/22 Chin Stiltz: Issue the RMA to Rajat as customer paid rework.
NCR1503810 - Windows on PPT have marks/scratches."
12190,0021-34335,,1,2/11/22,AMATASIA,Chawk,DIMENSIONAL,Closed ,,,,,,"02/10/22 Chin Stiltz: Issued the RMA to Wendy Wong.
QN#30222205 - Dimensional over size. Dia 2.452 +0/-.004 (SH1-C4) _Act: 2.459 O/S
Requested PC to provide the Job to pull 1 pc to re-inspect prior to ship.
02/24/22 Zeeshan Shaukat: Part received, new RMA job generated, pending QA evaluation.
03/25/22 Zeeshan Shaukat: part no reworkable scrapped by Mylene."
12191,0010-43785,,1,2/11/22,AMETAGS,AMAT,FUNCTIONAL,Closed,,,,,,"02/11/22 Zeeshan Shaukat: RMA issued to Navya as customer paid rework on PO 4513824545. for evaluation.
QN: 202571094: Brush roller motor adaptor damage cause Brush roller RPM abnormal
Where: UMC12A
When: Tool production
Who: Cu-A02
How:  plan replace roller adaptor
03/07/22 Zeeshan Shaukat: request sent to Yatie to provide a quote. 
03/17/22 Zeeshan Shaukat: shipped back to the customer, tracking info provided to the customer."
12192,0010-62905,,1,2/11/22,AMETAGS,AMAT,FUNCTIONAL,Closed,,,,,,"02/11/22 Zeeshan Shaukat: RMA 12192 issued to Navya as a customer paid rework on PO 4513749932.
QN 202574997: Tool BB2 B side brush gap open wafer rotation speed abnormal, SP is 50rpm, but actual is 0rpm. When: During production. Where: BB2 B side. How: Need check Idler assy. Impact: Tool FDC hold. Take action: Replace idler Assy kit. Root cause: Idler kit pro
03/18/22 Zeeshan Shaukat: part received job requested from PC.
04/12/22 Zeeshan Shaukat: RMA shipped against S/O 66312"
12193,0010-62905,,1,2/11/22,AMETAGS,AMAT,FUNCTIONAL,Open,,,,,,"02/11/22 Zeeshan Shaukat: Rma 12193 issue to Navya, as a customer paid re work on PO 4513790103.
QN 202581408: 11.3 customer run product wafer
what: brush 1 B site wafer rotation can't reach setpoint 50RPM, actual speed was 43 RPM
where: cleaner BB1 B side
how: 4 hours uptime impact for hardware check"
12194,515-002617-042,,2,1/15/22,LAMRC,LAMRC,WORKMANSHIP,Open,,,,,,"02/15/22 Chin Stiltz: Issued the RMA to Jairo.
Input from the customer: 
The outside holes with inserts show cracking. There are also other holes within the part show no issues and the theory is that the cleaning supplier is possibly using these same outside holes to hold the part and as a result inducing stress and cracking.
Potential Design issue. Also, Parts approved by LAM to ship, when received, there was cracks in the insert holes. Responsibility being challenged."
12195,0042-34520,,1,2/16/22,AMATGSS,CHAWK,FUNCTIONAL,Open/on hold before we scrap it.,,,,,,"02/16/22 Zeeshan Shaukat: RMA is issued to Jonas as supplier fault, the RMA will be evaluated and Estuardo have instructed Sam to, already submit a DMR reversal with following comments: Can we get a reversal going for this part. There is no flow test requirements, only leak test.  Please QN.
QN 40633171: Chem Manifold did not flow to the right output in Testing. It is supposed to reach a certain value, but fails to do so. Probably a functional issue of the part. 
Additions comments from the customer: The Chem manifold is installed on the HPC, CLNR. We do functional testing of the HPC on the CLNR and with this part installed we weren’t getting the correct water output reading on the Test fixture. It is supposed to reach the setpoint set and doesn’t reach the value desired. We got a new part and it worked fine. It might have been something with the part itself. It might have been damaged because nozzles are installed on the holes in the manifold and I think we installed the same nozzles on the different manifolds and it worked fine.
03/07/22 Zeeshan Shaukat: the part was built wrong by us, but a DMR reversal was submitted and it was approved by the customer ( the part is on hold, before we scrap it )."
12196,0041-77954,,1,2/16/22,AMATGSS,AMAT,FUNCTIONAL,Open,,,,,,"02/16/22 Zeeshan Shaukat: RMA issued to Jonas as customer paid rework on PO 4513767818.
QN 40595942: CLN Crack On Module Drip Tray
When calibrating Running Beams I put too much weight on the corner of the Module Drip Tray causing it to crack."
12197,0041-32264,,1,2/17/22,AMATGSS,CHAWK,DIMENSIONAL,Closed,,,,,,"02/17/22 Chin Stiltz: Issued the RMA to Jonas.
QN 30217948 - 
Description: 0041-32264;SN0007;Rev03;Out Of Spec
PPI Inspection. The following dimensions are out of tolerance
SHT7-B7, Parallelism, spec. is .010"" Max, actual .0236""
SHT8-A4, Dimension, spec. is .450 ±.010"", actual .445 - .423"" Slot is tapered inside to out.
SHT8-A4, Dimension, spec. is 2.500 ±.010"", actual 2.4844
SHT8-A4, Dimension, spec. is 4.500 ±.010"", actual 2.4838
SHT8-C4, Dimension, spec. is 3.833 ±.005"", actual 3.8200
SHT8-C4, Dimension, spec. is 3.883 ±.005"", actual 3.8706
SHT8-B3,Dimension, spec. is 7.106 ±.010"", actual 7.1178 - 7.1209
**Shipped rev 03 parts on S/O 61614 without ESW or approval from the customer***
04/06/22 Zeeshan Shaukat: part ok to scrap per Justin, part scrapped systematically ( physically moved to SGP CR to help with packaging )."
12198,0041-32264,,1,2/17/22,AMATGSS,Chawk,DIMENSIONAL,Closed,,,,,,"02/17/22 Chin Stiltz: Issued the RMA to Jonas.
QN 30218329
Description: 0041-32264;SN0004;Rev03;Out Of Spec
Containment Inspection. The following dimensions are out of tolerance
SHT7-B7, Parallelism, spec. is .010"" Max, actual .0111""
SHT8-A4, Dimension, spec. is .450 ±.010"", actual .4345 - .413"" Slot is tapered inside to out.
SHT8-A4, Dimension, spec. is 2.500 ±.010"", actual 2.4829
SHT8-A4, Dimension, spec. is 4.500 ±.010"", actual 2.4851
SHT8-C4, Dimension, spec. is 3.833 ±.005"", actual 3.8231
SHT8-C4, Dimension, spec. is 3.883 ±.005"", actual 3.8734
SHT8-B3, Dimension, spec. is 7.106 ±.010"", actual 7.1198 - 7.1204
04/06/22 Zeeshan Shaukat: part ok to scrap per Justin, part scrapped systematically ( physically moved to SGP CR to help with packaging )."
12199,0041-92905,,10,2/18/22,AMATGSS,Chawk,OTHER SEE RMA DESCRIPTION,Closed,,,,,,"02/18/22 Zeeshan Shaukat: RMA is issued to Alexis, An on going FA is taking place and if the root cause is due to adesign issue a DMR reversal will sent to the customer.
QN 30218510: : PN 0041-92905, cover is too thin, being damaged during assembly. additional comments: All covers are too thin, causing them to be crushed during installation.
03/18/22 Zeeshan Shaukat: Parts have been scaraped, picture saved in the RMA folder."
12200,0010-59820,,1,02/18/22,AMATGSS,Chawk,WORKMANSHIP,Open,,,,,,"02/18/22 Zeeshan Shaukat: RMA is issued to Jonas as a supplier fault.
QN 40669343: Door can built incorrectly
0010-59820, door assembled incorrectly, bottom of door is too  low and unable to close even when readjusting hinges. Lower lip of door hits frame when trying to close."
12201,0022-82911,,1,2/22/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30221266 : SPRAY BAR HPC
0022-82911 REV05; Serial#CP472183; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
 SHT1-B2, Flatness, spec. is .3mm Max, actual .50 mm 
 SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.60 mm 
Part is bowed*
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12202,0022-82911,,1,2/18/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30222024: Description: SPRAY BAR HPC
0022-82911 REV05; Lot#CP472183; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.40 mm.
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12203,0022-82911,,1,2/22/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30221266: SPRAY BAR HPC
0022-82911 REV05; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
 SHT1-B2, Flatness, spec. is .3mm Max, actual .50 mm 
 SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.60 mm 
Part is bowed*
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12204,0022-82911,,1,2/22/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30221266: SPRAY BAR HPC
0022-82911 REV05; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
 SHT1-B2, Flatness, spec. is .3mm Max, actual .50 mm 
 SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.60 mm 
Part is bowed*
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12205,0022-82911,,1,2/22/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30221266: SPRAY BAR HPC
0022-82911 REV05; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
 SHT1-B2, Flatness, spec. is .3mm Max, actual .50 mm 
 SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.60 mm 
Part is bowed*
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12206,0022-82911,,1,2/22/22,AMATGSS,Chawk,DIMENSIONAL,Open,,,,,,"02/22/22 Zeeshan Shaukat: RMA issued to Jonas as supplier fault.
QN 30221266: SPRAY BAR HPC
0022-82911 REV05; Fail to meet Spec 
CON Inspection. The following dimensions are out of tolerance 
 SHT1-B2, Flatness, spec. is .3mm Max, actual .50 mm 
 SHT1-B2, Parallelism, spec. is .5mm Max, actual 1.60 mm 
Part is bowed*
NOTE: the location specified on the QN is incorrect its SHT1-B2, whereas the location should be SHT1-D6. (for flatness and parallelism) per drawing."
12207,713-213582-510,,1,2/22/22,LAMRC,Chawk,WORKMANSHIP,Open,,,,,,"02/22/22 Chin Stiltz: Issued the RMA to Sergio.
NCI 1777094 - part not to print, Silkscreen incorrect color.
Zero in stock and no open orders but informed QA.
03/15/22 Zeeshan Shaukat: Part received job generated, requested Yatie to provide a internal quote."
12208,713-A78663-002,,1,2/23/22,LAMRC,Chawk,OTHER SEE RMA DESCRIPTION,Closed,,,,,,"02/23/22 Zeeshan Shaukat: the RMA is issued to LAM per Gabby, we shipped the part without a FAIR, whereas the fair was required. but it was not added by the PC team.
03/08/22 Chin Stiltz: FAI is approved and shipped back to the cutomer, tracking number : 1Z46885W1295107765.
Closed the RMA"
12209,713-256314-004,,1,2/23/22,TKF,Chawk,WORKMANSHIP,Open,,,,,,"02/2/22 Chin Stiltz: Issued the RAMA to Jae.
 NCI-2022-01666 - Received 29pcs and found out 1pc that marking direction in reverse and letter seems removed as well."
12210,713-256314-006,,5,2/24/22,TKF,Chawk,WORKMANSHIP,Open,,,,,,"02/23/22 Chin Stiltz: Issued the RMA to Jae.
NCI-2022-01664: Direction of Part marking issue.
03/18/22 Zeeshan Shaukat: parts handed to Olga team, by Gabby."
12211,713-229661-002,,3,2/25/22,UCT,Chawk,FUNCTIONAL,Closed,,,,,,"02/25/22 Zeeshan Shaukat: RMA is issued to Regina for UCT. 
QN 200031038 : failed leak test rtv. (already issued three different RMA's to the same customer with the same part number). ( the whole batch of this part number was affected due to wrong surface finish)."
