Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Suspected Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete,"Cost 
(if any)",Comments,Status ,
7/16/2021,5582,469836,0022-85280,01,1,2,"Diameters undersize:
1. SHEET 1 OF 2 ZONE : C:6/7 **3X 14.980 +.00/-.02  Actual:  14.9596, 14.9569, 14.955
2. SHEET 1 OF 2 ZONE : C:6/7 **3X COAXIALITY  SPEC: .02 ACTUAL: .0206-.0224",Dimensional,Operator Error,No defect,Erik,7/16/2021,7/19/2021,3,0,"7/16/21 - Part was released to Erik for rework. 
7/19/21 - The part was reevaluated by Edgard and no issues were found. ",Closed,
7/19/2021,5583,MT-P467271,0041-55017,05,1,10,"RELEASED TO STOCK
1 PART GOT DAMAGED DURING INSPECTION ( EDGARD) NEED TO ANODIZE CHIPPED  EDGES",Workmanship,Chawk Operator,Scrap,Peri,7/19/2021,7/19/2021,0,$153.00,7/19/21- Part was mishandled by operator and chipped the edges. DMR 2762,Closed,
7/20/2021,5584,P471816,K17255594,4,25,25,See inspection reports: Q:\Inspection Reports\ASM_Nexx\K17255594 REV 4\P471816,Dimensional,IFQ Precision,RTV,Marco,7/20/2021,,-44397,,"7/20/21 - An email was sent to Marco to notify supplier regarding this issue. 
8/9/21 -  An email was sent to Edgard to inspect the parts. ",Open,
7/23/2021,5585,P472213,713-A15460-012,A,11,10,DEPTH 8.00 ±.25 IS 9.4,Dimensional,CNC,rework,Erik,7/23/2021,,-44400,,"7/23/21 - Parts were released to Erik. 7/26/21-Rework in progress. 
8/4/21- Reworked
8/9/21 - Pending QA",Open,
7/23/2021,5586,SCI469331,0041-85630,03,2,100,"RELEASED TO CLEANING
2PCS FOUND WITH  CONTAMINATION (MATERIAL ATTACHED CANT BE REMOVED)",Cosmetic,Purchasing,Scrap,Marco,7/23/2021,7/23/2021,0,$470.00,7/23/21 - An email was sent to Marco to notify supplier regarding this issue.DMR 2766,Closed,
7/23/2021,5587,469112,15-431472-00,E,1,6,"part was damaged, craked on the edge sheet 1 zone c7. see pictures on file",Cosmetic,Shipping,Scrap,Marco,7/23/2021,7/23/2021,0,$392.00,7/23/21 - Part was damaged during transit. Part is not reworkable.   2764,Closed,
7/23/2021,5588,466577,15-431463-00,E,6,112,"PARTICLES IN THE COATING AND DEEP SCRATCHES 
PARTS TO BE SCRAP",Cosmetic,"SciCron Technologies, LLC",Scrap,Marco,7/23/2021,7/23/2021,0,"$2,700.00",7/23/21 - Parts are not reworkable. Supplier will issue credit for 6pcs DMR 2765,Closed,Form provided to Estuardo to sign
7/26/2021,5589,469393,0042-24584,02,5,5,52.3 ±.5 IS 48.53,Dimensional,Programing,Pending Action,Vinod/ Kenny,7/26/2021,,-44403,,"7/26/21 - Under review with Kenny and Erik. 
8/4/21 - A follow up email was sent to Kenny regarding this issue. 
8/9/21 - Pending SPS per John P.",Open,
7/26/2021,5590,cp469951,0021-04297,03,1,60,"S/N: 301514-2721-03165 SHEET 1 OF 2 ZONE: B-2 PART GOT DROPPED WHILE BEING INSPECTED, DAMAGING THE PART ON ONE OF THE CORNERS",Dimensional,QC,Scrap,Edgard,7/23/2021,7/26/2021,,$177.59,7/26/21 - Part is beyond repair. DMR 2767,Closed,
7/26/2021,5591,P467752,0815792-001,AA,1,2,"S/N: CHA-0001 SHEET 4 OF 4, ZONE B-2, WELD PER BEST PRACTICE.
NOTE 7:
A. HELIUM LEAK TEST UNDER VACUUM AT 10^-4 mbar L/S LIMIT
B. POSITIVE CDA PRESSURE @ 100 +/-5 PSI. ASSEMBLY SHALL HOLD PRESSURE FOR 2 HOURS
WITHOUT LOSING MORE THAN 5 PSI. LEAKS AT PLUGS AND WELDED FEATURES ARE NOT
ACCEPTABLE. 

ACTUAL : LEAKS",Functional,MARX DIGITAL MANUFACTURING,RTV,Marco,7/26/2021,,-44403,,"7/26/21 -  An email was sent to Marco to notify supplier. Part has already been returned to supplier. 
8/9/21 - A follow up email was sent to Marco. 
",Open,
7/27/2021,5592,MT-P467506,0042-36567,03,2,5,"Sh4, Section M-M -- qty 2 rejected
parts are Rev 02, should be Rev 03
(Laser engraved) part marking of ""ROBOT AUTOCALIBRATION FOUP"" missing. Supplier part marked per Rev 02",Workmanship,QC,Rework,Patrick,7/27/2021,,-44404,,7/26/21- Part will be reworked inhouse.,Open,
7/28/2021,5593,469183,515-269973-400,C,25,25,PR-081226 WAS DENIED AND PARTS TO BE REJECTED FOR DISCOLORATION IN,Cosmetic,Material issue,RTV,Marco,7/28/2021,,-44405,,"7/28/21 - An email was sent to Marco to notify supplier. 
8/9/21 - A follow up email was sent to Marco. ",Open,
7/28/2021,5594,465952,515-269973-400,C,14,7,"PARTS REJECTED DUE TO MTL DISCOLORATION, PR-081226 WAS REJECTED",Cosmetic,Material issue,RTV,Marco,7/28/2021,,-44405,,"7/28/21 - An email was sent to Marco to notify supplier. 
8/9/21 - A follow up email was sent to Marco. ",Open,
7/28/2021,5596,MT-P471436,0021-53975,02,1,1,"Zone C3: 2x M2 x 0.4 thread depth should be .157"" ± .005"", measures undersized at .130"" and .147""",Dimensional,Nominal,RTV,Marco,7/29/2021,,-44405,,7/29/21 - JP notified  Marco regarding this issue. ,Open,
7/29/2021,5597,sci469313,0022-18897,03,41,40,Parts failing dimensions per print. …..,Dimensional,CNC,rework,Erik L,7/29/2021,8/9/2021,11,0,"7/29/21 - JP notified  Erik regarding this issue. 
8/9/21 - Successfully reworked and passed inspection. ",closed,
7/30/2021,5598,467146,212T0351-17,31,1,10,Ø.713 +.002/-000 IS .731,Dimensional,CNC,Scrap,Erik L,7/30/2021,8/9/2021,10,"$2,650.00","7/30/21 - JP notified Erik regarding this issue. 
8/3/21 - Parts were released to eRik for rework. 
8/9/21- It was determined part is not reworkable per Erik. DMR 2777",Closed,
7/30/2021,5599,468378,0041-93977,02,1,1,Flatness OOT. Actual is 3.4mm s/b  .06mm ,Dimensional,Material issue,Scrap,Gabby,8/3/2021,8/3/2021,4,,8/3/21 - Per Gabby part is out of tolerance and part is not reworkable. DMR 2774,Closed,
7/30/2021,5600,MT-471563,0022-63395,1,4,4,"Ref Zone D4, note 7: Part marking orientation is flipped 180° (should follow orientation of logo per print); parts pass dimensionally",Workmanship,Programming,Rework,Vinod/Kenny,7/30/2021,,-44407,0,"7/30/21 - JP notified Kenny and Erik A regarding this issue. 
8/9/21 - A follow up email was sent to Kenny and Vinod. ",Open,
7/30/2021,5601,P470097,0051-44078,3,5,5,"PARTS REJECTED FOR BAD NPT THREAD
1/4 NPT GAGE GOES ALL THE WAY",Workmanship,CNC,Rework,Erik,7/30/2021,8/5/2021,6,0,"8/3/21 - Parts were released to eRik for rework. 
8/3/21 - 5 pcs will need to be remade per Louie and Karen. 
8/4/21- Reworked and pending inspection.
8/5/21 - Passed inspection.",Closed,
,,,,,215,859,,,,,,,,,,,,
