QN#,Date Opened,Title,Part number,Work Center,Defect Type,Serial Number,OSTR Actions Complete
40720340,4/23/2022,Bracket 0022-26446 not located,0022-26446,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40720319,4/23/2022,703225-CHA 0021-75377 x1,0021-75377,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40720241,4/23/2022,Broken weldment exhaust,0051-04880,34CMPB,PART DAMAGE / COSMETIC ISSUE,SCI474721,YES
40719549,4/22/2022,CLNR | 0041-83308 | MFL,0041-83308,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40719294,4/21/2022,CLNR (0010-59205) Bent door,0010-59205,34CMPB,PART DAMAGE / COSMETIC ISSUE,SCI469273,YES
40719117,4/21/2022,704143-3ESB PO 1853781 PN: 0022-27094,0022-27094,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40718892,4/21/2022,missing,0022-22690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40718875,4/21/2022,carriage cover issue,0010-52933,52CMPPPT,PACKAGING,,YES
40718243,4/20/2022,RF Gasket (0015-07321)x1 lost on floor,0015-07321,33ALDCHB,PART - MISSING/WRONG PART OR QTY,,YES
40718130,4/20/2022,Cable tree shield tray hit the carriage,0041-64119,52CMPPPT,FUNCTIONAL FAILURE,,YES
40717698,4/20/2022,Wrong part,0021-47380,34CMPB,FIT ISSUE,,YES
40717625,4/20/2022,Helicoil issue,0042-30574,52CMPMBB,FIT ISSUE,,YES
40717469,4/20/2022,Parts incomplete,0021-98859,52CMPPPB,PART - MISSING/WRONG PART OR QTY,,YES
40717432,4/19/2022,FI BUILD - ACRYLIC SCRATCHED,0022-48778,55CPGFIB,PART DAMAGE / COSMETIC ISSUE,469394,YES
40717337,4/19/2022,Wrong Black Cover for 0030-01173,0030-01173,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40717314,4/19/2022,MEG Side A Idler is broken,0010-81717,34CMPB,PART DAMAGE / COSMETIC ISSUE,SM2160413-SN0434,YES
40717141,4/19/2022,"CLNR, Input Shuttle Right Cover",0041-79193,34CMPFT,PART - MISSING/WRONG PART OR QTY,,YES
40717118,4/20/2022,0022-36739 Isolator waterlift cracked,0022-36739,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40716914,4/19/2022,SWLLs 0020-90662 Mispick,0020-90662,34CMGLLB,PART - MISSING/WRONG PART OR QTY,,YES
40716779,4/19/2022,Improper installation of helicoil,0042-30574,52CMPMBB,FIT ISSUE,,YES
40716521,4/18/2022,Missing Part : 0030-00374,0030-00374,36MDPCHT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40716202,4/18/2022,Missing part,0030-00370,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40716162,4/18/2022,Wrong part,0010-98402,B45LOG,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40716161,4/18/2022,Cracked upper  weldment exhaust(B Side,0051-04872,34CMPB,PART DAMAGE / COSMETIC ISSUE,5121,YES
40715997,4/18/2022,Mispicked exhaust part,0051-04872,34CMPB,OTHER,,YES
40715766,4/17/2022,BROKEN SCREW THREAD,0042-51632,52CMPMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40715761,4/17/2022,NYLON SCREW BROKEN,0042-51632,52CMPMPB,OTHER,,YES
40715734,4/17/2022,"0020-47026 Plate isolator, missing",0020-47026,52MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40715405,4/16/2022,MFL,0041-37261,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40715278,4/16/2022,0020-64129 CCM cover MFL,0020-64129,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40715212,4/16/2022,exhaust seperator broken,0051-35820,34CMPB,PART DAMAGE / COSMETIC ISSUE,1322,YES
40714736,4/15/2022,Pulled out Helicoils,0042-33492,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40714555,4/15/2022,0041-96586 MFL,0041-96586,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40714546,4/15/2022,The part is not built to print,0051-92529,52CMPPPB,AMAT Spec Reviewed - PART NOT TO SPEC,1226121622,YES
40714500,4/15/2022,0022-27050 Bushing DMR,0022-27050,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40714347,4/14/2022,LKPRIME POL BROKEN GAP BASIN,0041-48704,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40714215,4/14/2022,Logistics identified missing part,0022-90315,B33LOG,PART - MISSING/WRONG PART OR QTY,,YES
40714189,4/14/2022,Missing part,0020-35475,B45LOG,PART - MISSING/WRONG PART OR QTY,,YES
40713750,4/14/2022,Test Fail,0041-77748,52CMPHDB,LEAK,1022-8732,YES
40713644,4/13/2022,Broke the lower tray tab,0022-83732,33FEPINB,PART DAMAGE / COSMETIC ISSUE,,YES
40713610,4/13/2022,"Helicoil issue at 0042-35959, GAP COVER",0042-35959,52CMPMPB,FIT ISSUE,22205,YES
40713575,4/13/2022,Broken modules drip tray,0041-77947,34CMPB,PART DAMAGE / COSMETIC ISSUE,1122-03,YES
40713540,4/14/2022,Damaged Part:0022-95490,0022-95490,34CMPKB,PART DAMAGE / COSMETIC ISSUE,RTM119272-0622,YES
40713359,4/13/2022,"F50, LID COVER (0021-44940)",0021-44940,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,301514-0322,YES
40713218,4/13/2022,wrong part received,0051-04880,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40712915,4/13/2022,O-ring nozzle not found 0022-31316,0022-31316,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40712806,4/12/2022,part damage,0041-96586,36ETCCHB,FIT ISSUE,,YES
40712564,4/12/2022,cleaner 0051-04883,0051-04883,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40712485,4/12/2022,missing holes,0041-35648,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,SCI470350,YES
40712277,4/12/2022,"CLNR, BB1 Splitter cable-func.fail",0010-68059,34CMPFT,FUNCTIONAL FAILURE,0922-SN01295,YES
40712040,4/12/2022,LOG (B52 AL)DETECT COSMETIC ISSUE,0041-92030,B52LOG,PART DAMAGE / COSMETIC ISSUE,,YES
40711536,4/11/2022,Damaged Door,0010-62720,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40711518,4/11/2022,Part not to spec:0042-36414,0042-36414,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,4021-05,YES
40711460,4/11/2022,0042-36427-MFL,0042-36427,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40711459,4/11/2022,CLNR.. part : 0041 - 32264. Little crack,0041-32264,34CMPKB,PART DAMAGE / COSMETIC ISSUE,0002-CP476874,YES
40711417,4/11/2022,Damaged part: 0022-82079,0022-82079,34CMPKB,PART DAMAGE / COSMETIC ISSUE,2821,YES
40711337,4/11/2022,bumper oring,0022-31316,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40711217,4/10/2022,Carriage cover crack,0010-60438,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,YES
40711216,4/10/2022,Source cover j2J to B03032-1,0010-50933,52MDPCHT,PART DAMAGE / COSMETIC ISSUE,,YES
40711015,4/10/2022,"0010-32791 source, wrong cut out removed",0010-32791,36MDPCP,PART DAMAGE / COSMETIC ISSUE,822,YES
40711002,4/10/2022,source cover,0010-50933,52MDPCHT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40710815,4/9/2022,Part damaged,0042-28515,52CMPMBB,PART DAMAGE / COSMETIC ISSUE,,YES
40710656,4/9/2022,CLNR 2080 PC slide cover -0041-95238-MFL,0041-95238,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40710558,4/9/2022,Lost CH Cable Riser,0020-40355,33FEPINB,PART - MISSING/WRONG PART OR QTY,,YES
40710504,4/8/2022,0022-25690 HBO ring missing,0022-25690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40710481,4/8/2022,x1 0042-35031 MTR'd to 902280 POL-MFL,0042-35031,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40710254,4/8/2022,OP50 PIB SHIELD BROKEN,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,622-86,YES
40710140,4/8/2022,Replacement part needed,0041-99927,31DSMCHB,PART DAMAGE / COSMETIC ISSUE,301514-4620,YES
40709499,4/7/2022,CLNR Left door pins,0010-59820,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40709423,4/7/2022,"CLNR, Megasonic Junction Box-func.fail",0010-83466,34CMPFT,FUNCTIONAL FAILURE,SM2160464-SN0416,YES
40709316,4/7/2022,POL | broken,0051-41316,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40709225,4/7/2022,CLNR. Part # 0042-35192 Warp,0042-35192,34CMPKB,FIT ISSUE,5021-01,YES
40709219,4/7/2022,0010-80128 IEP found crushed pin,0010-80128,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,301514-4621,YES
40709160,4/7/2022,CLNR. Part # 0042-35191. warp,0042-35191,34CMPKB,FIT ISSUE,5021-01,YES
40709095,4/7/2022,cosmetic issue,0041-92030,SGPLOG,PART DAMAGE / COSMETIC ISSUE,,YES
40709026,4/7/2022,LOG (B52 AL) DETECT PART DAMAGE,0041-92030,B52LOG,PART DAMAGE / COSMETIC ISSUE,,YES
40708952,4/6/2022,part came in incomplete,0022-44446,55CPGLLB,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40708927,4/7/2022,Membrane Clamp 5 leak,0041-79337,52CMPHDB,LEAK,402115,YES
40708913,4/6/2022,0022-83732 x1 broken,0022-83732,33FEPINB,PART DAMAGE / COSMETIC ISSUE,,YES
40708521,4/6/2022,Test Fail,0022-38652,52CMPHDB,LEAK,,YES
40708442,4/6/2022,Part not to spec: 0042-36416,0042-36416,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,3921-04,YES
40708437,4/6/2022,CLNR 2071 DMR UNO Lake Drip pan,0042-12933,34CMPB,PART DAMAGE / COSMETIC ISSUE,1122,YES
40708368,4/6/2022,wrong part received/ supplier,0040-46184,32EPGNSO,PART - MISSING/WRONG PART OR QTY,300047-0520-01,YES
40708241,4/6/2022,broken base,0041-77947,34CMPB,PART DAMAGE / COSMETIC ISSUE,10ZZ-03,
40708239,4/6/2022,cosmetic issue,0051-21699,52CMPPPB,PART DAMAGE / COSMETIC ISSUE,200037164,YES
40708066,4/6/2022,"POL MTR HDX, bottom cover",0022-81134,34CMPB,OTHER,4321-01,YES
40708020,4/5/2022,WR drip pan was broken in the bag,0041-94880,34CMPFT,PART DAMAGE / COSMETIC ISSUE,SCI471180,YES
40708004,4/5/2022,FISE BUILD: WRONG PART,0021-81198,55CPGFIB,PART - MISSING/WRONG PART OR QTY,422,YES
40708001,4/5/2022,fise build: Wrong Part,0021-81198,55CPGFIB,PART - MISSING/WRONG PART OR QTY,422,YES
40707924,4/5/2022,FISE BUILD: WRONG PART,0021-81198,55CPGFIB,PART - MISSING/WRONG PART OR QTY,422,YES
40707739,4/5/2022,FISE BUILD: WRONG PART,0021-81198,55CPGFIB,PART - MISSING/WRONG PART OR QTY,422,YES
40707688,4/5/2022,PN 0030-01173 Replacement,0030-01173,36MDPCHB,FIT ISSUE,3.00E+11,YES
40707391,4/5/2022,0010-86295 Pre Clean Module,0010-86295,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,0922-301514-SN0072,YES
40707336,4/5/2022,POL | 0042-35031 x2 | MFL,0042-35031,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40707017,4/4/2022,GASKET,0022-38901,52DSMCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40706899,4/4/2022,"SHIELD, SAFETY",0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40706894,4/4/2022,LOG (B54 OPS) SUPPLIER WRONG PART,0041-98808,B54LOG,PART - MISSING/WRONG PART OR QTY,,YES
40706887,4/4/2022,LOG (B54 OPS) SUPPLIER WRONG PART,0041-98808,B54LOG,PART - MISSING/WRONG PART OR QTY,,YES
40706848,4/4/2022,POL/0015-12201/x1,0015-12201,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40706795,4/4/2022,Polisher upper door splash shield,0042-36248,34CMPFT,PART DAMAGE / COSMETIC ISSUE,222-09,YES
40706681,4/4/2022,CLNR. P # 0042-36417 not to spec,0042-36417,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,300047-3921-02,YES
40706624,4/4/2022,CLNR. P# 0042-36416. Not build to spec,0042-36416,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,RTM113114-3921,YES
40706475,4/4/2022,Fitting found missing,0010-89525,52CMPPSB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40706411,4/3/2022,motor cover found missing screw holder.,0040-21294,55CPGRBB,PART - MISSING/WRONG PART OR QTY,301514-3421,YES
40706355,4/4/2022,Lower PIB Safety Shield Needs Gluing,0030-00374,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,,YES
40706131,4/3/2022,MFL 0022-31316,0022-31316,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40706032,4/2/2022,LKPOL Broken cover gap,0041-48704,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40706026,4/2/2022,PIB Safety Shield damaged,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40705886,4/2/2022,"0022-27923, FILLER, BLANK",0022-27923,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40705723,4/1/2022,Megasonic Tank Leaking Water,0010-95241,34CMPB,LEAK,3921-301514-SN0383,YES
40705595,4/1/2022,"0030-00374 SHIELD, SAFETY, LOWER PIB",0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40705593,4/1/2022,QCA-CP-B02155-1     0030-00374,0030-00374,36MDPCP,PART - MISSING/WRONG PART OR QTY,,YES
40705487,4/1/2022,Broken slide cover,0041-95238,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40705272,4/1/2022,0042-23590,0042-23590,34CMPKB,FIT ISSUE,,YES
40705172,4/1/2022,part lost on floor,0022-93375,36NPIB,PART - MISSING/WRONG PART OR QTY,,YES
40704791,3/31/2022,Part ID- 2 digits transposed,0270-10379,93NPICP,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40704776,3/31/2022,0030-00374 shield glue detached,0030-00374,36MDPCP,PART DAMAGE / COSMETIC ISSUE,62258,YES
40704736,3/31/2022,"0030-00374 SHIELD, SAFETY, LOWER PIB",0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,N/A,YES
40704712,3/31/2022,CLNR 902280 BROKEN KNOB ON TOP COVER,0042-25930,34CMPB,PART DAMAGE / COSMETIC ISSUE,3321,YES
40704682,3/31/2022,missing part,0030-00370,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40704528,3/31/2022,Lower Drip Pan Polisher round PVC head,0042-39929,52CMPMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40704476,3/31/2022,0042-36416   1805921    902280,0042-36416,34CMPKB,FIT ISSUE,,YES
40704459,3/31/2022,Large scratch on right ceiling cover,0041-28496,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40704438,3/31/2022,"CLNR, WR Drip Pan Pass Through Side",0041-94880,34CMPFT,PART DAMAGE / COSMETIC ISSUE,-0722-,YES
40704385,3/31/2022,"NSO, Rcvd Damaged Part- 0042-23590",0042-23590,34CMPKB,PART DAMAGE / COSMETIC ISSUE,222,YES
40704348,3/31/2022,0022-88436-dropped,0022-88436,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40704115,3/30/2022,"QA - Cracked cover, 0030-00447 COVER,",0030-00447,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40704111,3/30/2022,LK Build - Missing fitting in assembly,0010-89525,52CMPPSB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40703880,3/30/2022,safety shield OP 40,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,822-76,YES
40703824,3/30/2022,Missing screw insert,0041-94342,55CPGLLB,PART - MISSING/WRONG PART OR QTY,3015144521,YES
40703575,3/30/2022,0022-22690 MFL,0022-22690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40703574,3/30/2022,0022-22689 MFL,0022-22689,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40703522,3/30/2022,0042-36416   1805921   902280,0042-36416,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,RTM113114-3921,YES
40703288,3/29/2022,MFL,0041-79637,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40703245,3/29/2022,Logistics identified incomplete kit,0240-11275,B45LOG,PART - MISSING/WRONG PART OR QTY,,YES
40702709,3/29/2022,0042-36416  1805921 902280-not to spec,0042-36416,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,RTM113114-3921,YES
40702469,3/28/2022,Unable to Located Parts-MFL,0022-76350,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40702422,3/28/2022,0022-27050,0022-27050,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40702417,3/28/2022,fitting Issue,0051-43801,52CMPMPB,FIT ISSUE,NA.,YES
40702231,3/28/2022,"0030-00374 safety shield, glue detached",0030-00374,36MDPCP,PART DAMAGE / COSMETIC ISSUE,82285,YES
40702123,3/28/2022,Top Cover Scratched,0022-32032,55CPGFIT,PART DAMAGE / COSMETIC ISSUE,,YES
40701913,3/28/2022,Found cosmetic defect on the window,0010-64905,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40701627,3/27/2022,Logistics Identified Missing part,0041-94880,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40701501,3/26/2022,weldment leak,0051-91673,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,YES
40701492,3/26/2022,screw stuck unable to remove,0022-95230,52CMPMFB,FIT ISSUE,,YES
40701162,3/25/2022,missing part,0030-00370,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40701052,3/25/2022,CLNR Right Door,0010-59205,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40701027,3/25/2022,0030-01173 Gas Cover missing,0030-01173,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40700896,3/25/2022,0030-00374 DMR,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,822/82,YES
40700893,3/25/2022,Missing Part,0022-26566,34CMPFT,PART - MISSING/WRONG PART OR QTY,,YES
40700853,3/25/2022,0042-36417   902280  0010-89446,0042-36417,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,RTM112919-3921,YES
40700512,3/24/2022,Wrong Part Received CLNR,0041-79195,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40700393,3/24/2022,0022-25690 Missing HPO,0022-25690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40700164,3/24/2022,Wrong part,0022-49779,B45LOG,PART - MISSING/WRONG PART OR QTY,,YES
40699986,3/24/2022,Lost part,0022-25689,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40699704,3/24/2022,0042-36417   902280   0010-89446,0042-36417,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40699606,3/23/2022,0030-00370 COVER,0030-00370,36MDPCHB,FIT ISSUE,3.00E+11,YES
40699605,3/23/2022,Cover Will not fit,0030-00370,36MDPCHB,FIT ISSUE,,YES
40699561,3/23/2022,Helicoil damage,0042-32798,52CMPMBB,PART DAMAGE / COSMETIC ISSUE,22214,YES
40699078,3/23/2022,CLNR  part 0022-09339,0022-09339,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,1521,YES
40699076,3/23/2022,Missing part- 0022-01098,0022-01098,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40698333,3/22/2022,left carriage cover broken,0010-52933,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,YES
40698255,3/22/2022,CLNR. Part # 0022-09339 Not to spec,0022-09339,34CMPKB,FIT ISSUE,222,YES
40697968,3/21/2022,Missing RF Gasket (0015-07321)x1,0015-07321,33ALDCHB,PART - MISSING/WRONG PART OR QTY,,YES
40697869,3/21/2022,CLNR part damage .,0051-24566,34CMPB,PART DAMAGE / COSMETIC ISSUE,SCI471123,YES
40697796,3/21/2022,0022-18897 wrong part picked,0022-18897,33ALDCHB,PART - MISSING/WRONG PART OR QTY,,YES
40697793,3/21/2022,RF Gasket (0015-07316)x2 lost on floor,0015-07316,33ALDCHB,PART - MISSING/WRONG PART OR QTY,,YES
40697594,3/21/2022,Upper door shield crack,0042-36248,52CMPMPT,PART DAMAGE / COSMETIC ISSUE,,YES
40697544,3/21/2022,PART INCOMPLETE,0040-05925VU,32EPGINS,ASSEMBLED INCORRECTLY / WORKMANSHIP,10498700-001-251,YES
40697521,3/21/2022,Lost part,0022-49179,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40697461,3/21/2022,short,0041-49956,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40696922,3/19/2022,Missing Part,0022-31080,52FEPCHB,PART - MISSING/WRONG PART OR QTY,NIL,YES
40696913,3/19/2022,POL EHW Broke,0041-50369,34CMPB,PART DAMAGE / COSMETIC ISSUE,3121,YES
40696877,3/19/2022,PIB SAFETY SHIELD BROKEN,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40696705,3/18/2022,"0041-49956, CLAMP,LOWER,CENTER,LID W/FOU",0041-49956,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40696667,3/18/2022,CLNR- broken tubing,0051-42897,34CMPB,PART DAMAGE / COSMETIC ISSUE,200037164-4421,YES
40696626,3/19/2022,part broken,0041-36583,34CMPKB,PART DAMAGE / COSMETIC ISSUE,3721,YES
40696528,3/18/2022,Broken Front Mainframe Cable Trays,0022-83732,33FEPINB,PART DAMAGE / COSMETIC ISSUE,,YES
40696484,3/18/2022,Broken Upper and Lower Cable Trays,0022-83732,33FEPINB,OTHER,,YES
40696413,3/18/2022,Test Bay 5-E PINCH GUARD damaged,0030-00603,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,,YES
40696379,3/18/2022,0022-70972 bracket for weldment install,0022-70972,31DSMCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40696372,3/18/2022,Heli Coil issue,0041-49832,52CMPPPB,FIT ISSUE,,YES
40696352,3/18/2022,Merlion. Part # 0042-37352...,0042-37352,34CMPKB,FIT ISSUE,RTM113810-5121,YES
40696186,3/18/2022,Right Comb,0042-46311,36NPIB,FIT ISSUE,,YES
40696157,3/18/2022,"0030-00596, SHIELD, SAFETY, LOWER PIB",0030-00596,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,N/A,YES
40695987,3/17/2022,BB2 A Side Tank is tilted,0010-84707,B34LOG,ASSEMBLED INCORRECTLY / WORKMANSHIP,0722-SN01277,YES
