Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,
12/20/2021,5808,CP476669,0022-86429,2,17,200,"TO CLEAN.
17 UNITS: SHEET 1 ZONE B5 SHOULD BE 1.15 IS OUT OF SPEC",DImensions,QC,AS-IS,Erik A.,12/20/2021,12/29//21,0,0,"12/20/21- Currently being reviewed by Erik L. 
12/29/21-   Per Erik A,  low risk to release as-is to customer. Part is long term production part (and a splash guard). Discrepancy would not affect functionality. Parts okay to use as-is",Closed,
12/20/2021,5809,cp476802,0041-79463,7,1,68,1unit was broken inside cleanroom. SN: 0164,Workmanship,Cleaning,Scrap,Erik A,12/20/2021,12/22/2021,0,"$7,000.00 ","12/20/21-Currently being reviewed by Erik A.
12/22/21- Part is not reworkable per Erik A. DMR  2857
Note: this part will go to Martin per Erik A.",Closed,
12/20/2021,474383,474383,713-294453-001,,1,130,Chip in the part that is not acceptable,Cosmetic,Cleaning,scrap,Erik L. ,12/20/2021,,0,$111.50 ,12/20/21- Not showing on Epicor. ,Open,
12/21/2021,5810,CP476669,0022-86429,2,3,200,SHEET 1 ZONE B5 SHOULD BE 1.15 IS OUT OF SPEC,Workmanship,QC,AS-IS,Erik A,12/21/2021,12/29/2021,0,$0.00 ,"12/29/21-   Per Erik A,  low risk to release as-is to customer. Part is long term production part (and a splash guard). Discrepancy would not affect functionality. Parts okay to use as-is",Closed,
12/21/2021,5811,SCI469697,0041-91826,3,3,10,NO GO FOR M3 THREAD GAGE GOES DRAWIG SH6D,Workmanship,QC,Rework,Louie,12/21/2021,,0,,"12/21/21- QC is at fault for using the wrong gage. Parts were released to Louie for rework.
12/31/21- WIP ",Open,
12/21/2021,5812,cp475630,0042-50003,1,2,4,Units 0006 and 0007   Thru pos  found out of tol.     per specs  thru pos of slots should be .003  actual readings are .005 to,dimensions,CNC,Rework,Erik L. ,12/21/2021,,0,,"12/21/21- Parts were released to Erik L to rework. 
12/30/21- This part has been reworked and is awaiting inspection. ",Open,
12/21/2021,5813,p473066,0270-11043,1,1,1,TICKNESS 1.00 ±.010 IS .920 TO .966,dimensions,CNC,Rework,Erik A,12/21/2021,,0,,12/21/21- An email was sent to Erik A to review the NCR. ,Open,
12/22/2021,5814,477760,0022-94545,1,1,1,note#13 part marking omitted,Workmanship,"T&H Manufacturing, Inc",RTV,Marco,12/22/2021,,0,,12/22/21- An email was sent to Marco to notify the supplier.  Released to Simone (shipping) ,Open,
12/23/2021,5815,MT-rpm477477,515-A46865-030,A,5,5,Exposed material after anodizing,Workmanship,Eclipse Metal Fabrication,RTV,Marco,12/23/2021,,0,,12/23/21- An email was sent to Marco to notify the supplier.  Parts were moved to Shipping area. ,Open,
12/23/2021,5816,SCI476693,0041-82718,3,20,20,"ITEM 3 DID NOT INSTALL PERPENDICULAR WITH TOP SURFACE. 
1 UNITS HAS TOOL MARK IN TOP SURFACE",Workmanship,Sonic Engineering Inc,RTV,Marco,12/23/2021,,0,,12/23/21- An email was sent to Marco to notify the supplier.  Parts were moved to Shipping area. Note: Supplier came and picked up the parts,Open,
12/23/2021,5817,478084,713-256314-006,B,26,26,Missing ink stamp,Workmanship,CONDOR MANUFACTURING,RTV,Marco,12/23/2021,,0,,12/23/21- An email was sent to Marco to notify the supplier.  Parts were moved to Shipping area. ,Open,
12/23/2021,5818,478080,713-256314-305,C,26,26,Missing ink stamp,Workmanship,Quoting,Rework In-house,Marco,12/23/2021,,0,,12/23/21- Per supplier ink stamp was not added to the quote. Part will be reworked inhouse. PC added part marking seq on this job. ,Open,
12/23/2021,5819,mt-rpm477475,515-A46865-010,B,5,5,Exposed material after anod,Workmanship,Eclipse Metal Fabrication,RTV,Marco,12/23/2021,1/4/2021,0,$0.00 ,"12/23/21- An email was sent to Marco to notify the supplier.  Parts were moved to Shipping area.
 1/4/21- Edgard double-checked this NCR and found no issue with the parts. However, the inspector who inspected these parts is not familiar with them. ",Closed,
12/28/2021,5820,CP476787,0021-04297,3,1,100,"SN 04101 WAS DROPPED DURRING CLEANING AND DAMAGED CORNER ON AREA
SHEET 1 ZONE B2",Workmanship,Cleaning,Scrap,Edgard,12/28/2021,12/28/2021,0,$177.59 ,12/28/21- Part is not reworkable per Edgard. DMR 2859,Closed,
12/28/2021,5821,RTM478651,0022-91515,2,30,4,"PARTS DAMAGED DURRING CLEANING AND PACKAGING
2PCS TORN AND CANT BE REWORKED, SEE PICTURES ON FILE",Workmanship,Cleaning,Scrap,Edgard,12/28/2021,12/29/2021,0,$416.00 ,"12/29/21- Part is not reworkable per Edgard. DMR 2860
Created new job RTM479336 for 2 pcs",Closed,
12/29/2021,5822,MT-472965,0040-77461,BB,20,20,"Multiple dimensions along the length of part oversized by ~.100-.150""
See attached print",dimensions,Programming,Scrap,Erik A.,12/29/2021,12/29/2021,0,"$45,476.00 ",12/29/21- Part is not reworkable per Erik A. DMR 2862,Closed,
12/29/2021,5823,P477679,0022-48940,3,3,3,"IPI PARTS REJECTED DUE TO DIMENSIONAL ISSUE, PLEASE SEE SHEET 1 ZONE E8, C8, AND C2
SLOT SHOULD BE 12.0±0.5 ACTUAL IS BETWEEN 17.66 AND 17.80
DISTANCE SHOULD BE 40.0±0.5 ACTUAL IS BETWEEN 30.01 AND 30.06
DISTANCE SHOULD BE 10.0±0.5 ACTUAL IS BETWEEN 14.76 AND 14.82",Dimensions,CNC,Scrap,Karen,12/29/2021,12/29/2021,0,"$1,245.00 ","12/29/21- Part is not reworkable per Karen. . DMR 2861. 
closed job P477679. Created new job 479352 for 3X",Closed,
12/30/2021,5824,473416,0035-00418,2,5,20,"SHT2 Zone A5: 2 holes have no diameter. Zone A5: 3.61 is 3.334-3.340, 3.17 is 2.903 - 2.916.
Zone B4: 13.33 is 13.114-13.159, 13.78 is 13.547-13.571
Zone A8: 4.82 is 4.720-4.770
Zone C4: 12.93 is 13.010 - 13.025, 9.43 is 9.497
Zone C1: 12.63 is 12.680 - 12.682",Workmanship,"CTI (SuZhou) Co., Ltd.,",RTV,Marco,12/30/2021,,0,,12/30/21- An email was sent to Marco to notify the supplier.   ,Open,
12/30/2021,5826,ASM459502,0021-53070,2,100,100,EA 12/30: qty 100 rejected due to missing silk screening per print,Workmanship,CENTRAL TECH INCORPORATION VIETNAM COMPANY LIMIT,RTV,Erik A/ Marco,12/31/2021,,1,,12/31/21- Erik A will review this issue with Mraco. ,Open,
12/30/2021,5827,ASM463714,0195-06854,3,1,308,EA 12/31: encoder cable connector (at motor side) damaged/broken,Workmanship,Assembly,RTV ,Nafees,12/31/2021,,1,,12/31/21- An email was sent to Nafees to notify the supplier.  The damage was done internally in transit from inventory to assembly per Erik A. ,Open,
,,,,,574,2523,,,,,,,,,"$70,426.47 ",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
