Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date, Days to disposition ,"Cost 
(if any)",Comments,Status ,
4/21/2021,5473,SCI465541,0041-37259,2,4,30,"PARTS REJECTED DUE TO NOT MEETING PRINT.  SEE SHEET 1 ONE C6
ITEM 1, 2 AND 3 ARE BONDED IN WRONG ORIENTATION AND LOCATION",Workmanship,Fab1,Rework,Marcelino/Louie/Vladimir,4/22/2021,,$1.00 ,,"4/20/21- An email was sent to Vladimir/Jhune and Louie regarding this issue.
5/4/21- Per Vladimir parts are still pending for rework. ",Open,
4/19/2021,5472,ASM466273,0041-30145,2,20,100,PARTS REJECTED FOR WORKMANSHIP/ COSMETICS PARTS HAVE NICKS CHIPS AND DAMAGE PINS PLEASE SEE PICTURES ATTACHED,Workmanship,NT Engineering,RTV,MARCO,4/20/2021,,$1.00 ,,"4/20/21- An email was sent to Marco to notify supplier.
5/4/21- An email was sent to Marco to follow up with supplier. 
",Open,
1/12/2021,5474,RW469163,0041-25594,,1,1,Missing screw,Functional,South Bay,RTV,MARCO,4/28/2021,,$106.00 ,10-Jul,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB. 
5/7/21- A follow up email was sent  to Marco.",Open,
4/2/2021,5475,RW469164,1400-01498 (COMSNS243605GES),,2,2,Sensors not functioning correctly. Not detecting water. Need a valid job 2/ QA seq to create NCR,Functional,"
ICHOR",RTV,MARCO,4/28/2021,,$26.00 ,14-Sep,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB,",Open,
3/15/2021,5476/ 5478,RW469165,"1400-01498
COMSNS243605GES",,1,1,Failed during test. Not triggered ,Functional,"
ICHOR",RTV,MARCO,4/28/2021,,$44.00 ,14-Sep,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB,",Open,
2/2/2017,5477/5479,RW469166,"1400-01498
COMSNS243605GES",,1,1,Sensors not functioning correctly. Not detecting water. Need a valid job 2/ QA seq to create NCR,Workmanship,ICHOR,RTV,MARCO,4/28/2021,,"$1,546.00 ",,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB,",Open,
4/28/2021,5480,RW469168,COMTENDS4UB-F100L42-N23PE-PSYORK,,1,1,Damage Connector,Functional,Sanyo Denki,RTV,Marco,4/28/2021,,$0.00 ,,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB,",Open,
4/23/2021,5481,RW469169,"
COMTENDS4UB-F100L42-N23PE-PSYORK",,1,1,Damage Wheel,Functional,Sanyo Denki,RTV,Marco,4/23/2021,,$0.00 ,,4/23/21 - Marco was notified of this issue. Assembly NCR,Open,
4/23/2021,5482,RW469170,0190-29897,4,1,1,Damage Connector,Functional,Sanyo Denki,RTV,Marco,4/23/2021,,$0.00 ,,4/23/21 - Marco was notified of this issue. Assembly NCR,Open,
4/28/2021,5483,RW469171,0041-14343,3,1,1,Damage Connector cover,Functional,Assembly,Rework/RTV,Marco/Marcelino,4/28/2021,,$0.00 ,,"4/28/21- An email was sent to Marco to notify supplier. Note: This part was only recectly placed in MRB,
",Open,
4/28/2021,5487,ASM466273,0041-30145,2,80,100," item #2, 3 and 4 are not meeting drawing requirements.  BOM item #2, As per pdf of 3550-00544, OEM part number should be BERG part D50M-4, 
aCTAUAL: M58PD-SS. 
item #3, SS insert used wrongly instead of Nitronic 60 insert. As per pdf of 3410-00247, OEM part number should be 1084-4EN080, Actual used:  1084-4CN080. 
item #4, SS insert used wrongly instead of Nitronic 60 insert. As per pdf of 3410-00379,  part number should be 1185-4EN625,
Actual used: part 1185-4CN62",Functional,NT Engineering,RTV,Marco,4/29/2021,,$1.00 ,,4/29/21 - Marco was notified of this issue. ,Open,
4/28/2021,5488,MT-468367,570049801,A,1,1,"PART REJECTED DUE TO NOT MEETING PRINT 
PLEASE SEE SHEET 1 ZONE D4, SHOULD BE Ø40.512 +.025/-0.000, ACTUAL IS Ø40.538",Dimensional,Purchasing,RTV,Marco,4/29/2021,,$1.00 ,,"4/29/21 - Marco was notified of this issue.
5/3/21- Part ws released to Tafara. ",Open,
4/30/2021,5490,CP467062,0042-22013,2,1,1,"Failed QC inspection - detail AB - .122 is OOT, Section A-A - 1.110 is OOT",Dimensional,Lathe/CNC,Rework,Lalo/William,4/30/2021,,$0.00 ,,4/30/21 - Lalo and William was notified of this issue. ,Open,
,,,,,214,671,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
